Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
CUSTERS REVENGE,2600,1981,Action,Mystique,760000.0,50000.0,,10000.0,820000
DARK CAVERN,2600,1981,Shooter,Mattel Interactive,220000.0,10000.0,,,240000
DEADLY DUCK,2600,1981,Shooter,20th Century Fox Video Games,210000.0,10000.0,,,220000
DEATH TRAP,2600,1982,Action,Avalon Interactive,150000.0,10000.0,,,170000
DEFENDER,2600,1980,Misc,Atari,990000.0,50000.0,,10000.0,1050000
DEFENDER II,2600,1987,Shooter,Atari,420000.0,20000.0,,,450000
DEMON ATTACK,2600,1981,Shooter,Imagic,1990000.0,120000.0,,20000.0,2130000
DESERT FALCON,2600,1987,Shooter,Atari,240000.0,10000.0,,,260000
DIG DUG,2600,1982,Puzzle,Atari,1520000.0,100000.0,,20000.0,1640000
DOLPHIN,2600,1983,Action,Activision,270000.0,20000.0,,,290000
DONKEY KONG,2600,1981,Platform,Coleco,1360000.0,80000.0,,20000.0,1460000
DONKEY KONG JUNIOR,2600,1981,Platform,Atari,900000.0,50000.0,,10000.0,970000
DOUBLE DRAGON,2600,1989,Action,Activision,450000.0,20000.0,,10000.0,470000
DRAGONFIRE,2600,1981,Action,Imagic,350000.0,20000.0,,,370000
ET THE EXTRA TERRESTRIAL,2600,1981,Action,Atari,1840000.0,110000.0,,20000.0,1970000
ENDURO,2600,1982,Misc,Quelle,810000.0,50000.0,,10000.0,870000
FANTASTIC VOYAGE,2600,1981,Action,20th Century Fox Video Games,320000.0,20000.0,,,340000
FAST FOOD,2600,1981,Action,Unknown,270000.0,20000.0,,,290000
FIREBALL,2600,1981,Action,Starpath Corp.,300000.0,20000.0,,,330000
FRANKENSTEINS MONSTER,2600,1982,Action,Data Age,300000.0,20000.0,,,320000
FREEWAY,2600,1980,Action,Activision,320000.0,20000.0,,,340000
FROGGER,2600,1981,Action,Parker Bros.,2060000.0,120000.0,,20000.0,2200000
FROGGER II THREEEDEEP,2600,1983,Action,Parker Bros.,310000.0,20000.0,,,330000
FROGS AND FLIES,2600,1981,Action,Mattel Interactive,330000.0,20000.0,,,360000
FRONT LINE,2600,1981,Action,Taito,220000.0,10000.0,,,240000
FROSTBITE,2600,1983,Action,Activision,320000.0,20000.0,,,340000
GALAXIAN,2600,1982,Shooter,Atari,720000.0,50000.0,,10000.0,770000
GAUNTLET,2600,1982,Action,Answer Software,460000.0,30000.0,,10000.0,500000
GHOSTBUSTERS,2600,1985,Puzzle,Activision,420000.0,30000.0,,,450000
GRAND PRIX,2600,1981,Racing,Activision,450000.0,30000.0,,,480000
GRAVITAR,2600,1982,Action,Atari,350000.0,20000.0,,,380000
GREMLINS,2600,1983,Action,Atari,430000.0,30000.0,,,460000
HALLOWEEN,2600,1982,Action,Wizard Video Games,580000.0,30000.0,,10000.0,620000
ICE HOCKEY,2600,1980,Sports,Activision,460000.0,30000.0,,10000.0,490000
INTERNATIONAL SOCCER,2600,1981,Sports,Mattel Interactive,180000.0,10000.0,,,190000
JAWBREAKER,2600,1981,Action,Tigervision,420000.0,30000.0,,,450000
JOUST,2600,1982,Platform,Atari,1010000.0,60000.0,,10000.0,1080000
JR PACMAN,2600,1983,Puzzle,Atari,720000.0,50000.0,,10000.0,780000
JUNGLE HUNT,2600,1982,Platform,Atari,1030000.0,60000.0,,10000.0,1100000
KABOOM,2600,1980,Misc,Activision,1070000.0,70000.0,,10000.0,1150000
KANGAROO,2600,1982,Platform,Atari,670000.0,40000.0,,10000.0,720000
KEYSTONE KAPERS,2600,1982,Action,Activision,620000.0,40000.0,,10000.0,660000
KING KONG,2600,1981,Action,Tigervision,650000.0,40000.0,,10000.0,690000
KLAX,2600,1989,Puzzle,Atari,140000.0,10000.0,,,150000
KRULL,2600,1982,Action,Atari,130000.0,10000.0,,,140000
KUNGFU MASTER,2600,1987,Action,Activision,600000.0,40000.0,,10000.0,650000
LASER BLAST,2600,1981,Action,Activision,370000.0,20000.0,,,390000
MARIO BROS,2600,1982,Platform,Atari,1480000.0,90000.0,,20000.0,1590000
MEGAMANIA,2600,1981,Shooter,Activision,1030000.0,60000.0,,10000.0,1100000
MIDNIGHT MAGIC,2600,1983,Action,Atari,470000.0,30000.0,,10000.0,500000
MILLIPEDE,2600,1983,Shooter,Atari,450000.0,30000.0,,10000.0,480000
MISSILE COMMAND,2600,1980,Shooter,Atari,2560000.0,170000.0,,30000.0,2760000
MOON PATROL,2600,1982,Shooter,Atari,1050000.0,60000.0,,10000.0,1120000
MOUNTAIN KING,2600,1982,Action,CBS Electronics,290000.0,20000.0,,,310000
MOUSE TRAP,2600,1981,Action,Coleco,380000.0,20000.0,,,400000
MR DO,2600,1982,Action,Coleco,260000.0,20000.0,,,270000
MR DOS CASTLE,2600,1983,Action,Parker Bros.,150000.0,10000.0,,,170000
MS PACMAN,2600,1981,Puzzle,Atari,1540000.0,100000.0,,20000.0,1650000
PACMAN,2600,1982,Puzzle,Atari,7280000.0,450000.0,,80000.0,7810000
PENGO,2600,1983,Adventure,Atari,380000.0,20000.0,,,400000
PHOENIX,2600,1981,Simulation,Atari,420000.0,20000.0,,,450000
PITFALL II LOST CAVERNS,2600,1983,Platform,Activision,1220000.0,70000.0,,20000.0,1310000
PITFALL,2600,1981,Platform,Activision,4210000.0,240000.0,,50000.0,4500000
POLARIS,2600,1982,Action,Tigervision,260000.0,20000.0,,,280000
POLE POSITION,2600,1982,Racing,Atari,1100000.0,70000.0,,10000.0,1180000
POPEYE,2600,1982,Platform,Parker Bros.,500000.0,30000.0,,10000.0,540000
PORKYS,2600,1982,Action,20th Century Fox Video Games,230000.0,10000.0,,,250000
PRESSURE COOKER,2600,1982,Action,Activision,140000.0,10000.0,,,150000
QBERT,2600,1982,Puzzle,Parker Bros.,550000.0,30000.0,,10000.0,580000
RAIDERS OF THE LOST ARK,2600,1981,Action,Atari,460000.0,30000.0,,10000.0,500000
RAMPAGE,2600,1988,Action,Activision,220000.0,10000.0,,,240000
REACTOR,2600,1981,Action,Parker Bros.,210000.0,10000.0,,,220000
REALSPORTS BASEBALL,2600,1981,Sports,Atari,200000.0,10000.0,,,210000
REALSPORTS BOXING,2600,1986,Sports,Atari,280000.0,20000.0,,,290000
REALSPORTS FOOTBALL,2600,1981,Sports,Atari,240000.0,10000.0,,,260000
REALSPORTS TENNIS,2600,1982,Sports,Atari,460000.0,30000.0,,10000.0,500000
REALSPORTS VOLLEYBALL,2600,1981,Sports,Atari,120000.0,10000.0,,,130000
RIVER RAID,2600,1981,Shooter,Activision,1490000.0,90000.0,,20000.0,1600000
RIVER RAID II,2600,1988,Shooter,Activision,470000.0,30000.0,,10000.0,510000
SMURF RESCUE IN GARGAMELS CASTLE,2600,1981,Action,Coleco,550000.0,30000.0,,10000.0,590000
SOLARIS,2600,1986,Shooter,Atari,350000.0,20000.0,,,370000
SPIDERMAN,2600,1981,Action,Parker Bros.,870000.0,50000.0,,10000.0,930000
SUPER BASEBALL,2600,1987,Sports,Atari,70000.0,,,,70000
SUPER FOOTBALL,2600,1987,Sports,Atari,70000.0,,,,80000
THE ACTIVISION DECATHLON,2600,1982,Sports,Activision,520000.0,30000.0,,10000.0,550000
XMAN,2600,1982,Action,Universal Gamex,580000.0,40000.0,,10000.0,630000
YARS REVENGE,2600,1982,Shooter,Atari,730000.0,40000.0,,10000.0,780000
BUSTAMOVE,3DO,1994,Puzzle,Micro Cabin,,,20000.0,,20000
POLICENAUTS,3DO,1995,Adventure,Konami Digital Entertainment,,,60000.0,,60000
SOTSUGYOU II NEO GENERATION SPECIAL,3DO,1995,Simulation,Imageworks,,,20000.0,,20000
12SAI HONTO NO KIMOCHI,3DS,2014,Adventure,Happinet,,,70000.0,,70000
12SAI KOISURU DIARY,3DS,2016,Adventure,Happinet,,,40000.0,,40000
3DS CLASSIC COLLECTION,3DS,2016,Misc,Sega,20000.0,,,,30000
50 CLASSIC GAMES,3DS,2012,Misc,Avanquest Software,,20000.0,,,20000
7TH DRAGON III CODE VFD,3DS,2015,Role-Playing,Sega,30000.0,,120000.0,,160000
ATRAIN CITY SIMULATOR,3DS,2014,Simulation,ArtDink,,,60000.0,,60000
AKB48ME,3DS,2012,Action,Unknown,,,110000.0,,110000
ACE ATTORNEY 6,3DS,2016,Adventure,Capcom,,,270000.0,,270000
ACE COMBAT ASSAULT HORIZON LEGACY,3DS,2011,Simulation,Namco Bandai Games,100000.0,60000.0,80000.0,10000.0,240000
ADVENTURE TIME EXPLORE THE DUNGEON BECAUSE I DONT KNOW,3DS,2013,Action,D3Publisher,100000.0,30000.0,,10000.0,140000
ADVENTURE TIME FINN  JAKE INVESTIGATIONS,3DS,2015,Action,Little Orbit,20000.0,50000.0,,10000.0,70000
ADVENTURE TIME THE SECRET OF THE NAMELESS,3DS,2014,Adventure,Little Orbit,10000.0,,,,20000
ADVENTURE TIME THE SECRET OF THE NAMELESS KINGDOM,3DS,2014,Action,Little Orbit,,70000.0,,,80000
AIKATSU 2NIN NO MY PRINCESS,3DS,2013,Action,Namco Bandai Games,,,260000.0,,260000
AIKATSU 365 IDOL DAYS,3DS,2014,Adventure,Namco Bandai Games,,,130000.0,,130000
AIKATSU CINDERELLA LESSON,3DS,2012,Role-Playing,Namco Bandai Games,,,200000.0,,200000
AIKATSU MY NO1 STAGE,3DS,2015,Misc,Namco Bandai Games,,,70000.0,,70000
ANGLERS CLUB ULTIMATE BASS FISHING 3D,3DS,2011,Sports,D3Publisher,,30000.0,,,30000
ANGRY BIRDS STAR WARS,3DS,2013,Strategy,Activision,150000.0,150000.0,,30000.0,340000
ANGRY BIRDS TRILOGY,3DS,2012,Action,Activision,380000.0,200000.0,,50000.0,630000
ANIMAL CROSSING HAPPY HOME DESIGNER,3DS,2015,Simulation,Nintendo,470000.0,1000000.0,1390000.0,120000.0,2980000
ANIMAL CROSSING NEW LEAF,3DS,2012,Simulation,Nintendo,2009999.0,2320000.0,4360000.0,410000.0,9090000
ANSATSU KYOUSHITSU ASSASSIN IKUSEI KEIKAKU,3DS,2016,Action,Namco Bandai Games,,,60000.0,,60000
ART ACADEMY LESSONS FOR EVERYONE,3DS,2012,Action,Nintendo,200000.0,30000.0,210000.0,20000.0,460000
ASPHALT 3D,3DS,2011,Racing,Ubisoft,270000.0,160000.0,20000.0,40000.0,490000
ASSASSINATION CLASSROOM GRAND SIEGE ON KUROSENSEI,3DS,2015,Action,Namco Bandai Games,,,130000.0,,130000
ATTACK ON TITAN HUMANITY IN CHAINS,3DS,2013,Action,Screenlife,,,410000.0,,410000
AZADA,3DS,2012,Puzzle,Licensed 4U,,20000.0,,,20000
AZURE STRIKER GUNVOLT STRIKER PACK,3DS,2016,Action,Inti Creates,,,10000.0,,10000
BITTRIP SAGA,3DS,2011,Misc,Rising Star Games,90000.0,40000.0,,10000.0,140000
BALLOON POP 2,3DS,2012,Puzzle,UFO Interactive,10000.0,,,,10000
BARBIE AND HER SISTERS PUPPY RESCUE,3DS,2015,Action,Namco Bandai Games,,30000.0,,,40000
BATMAN ARKHAM ORIGINS BLACKGATE,3DS,2013,Action,Warner Bros. Interactive Entertainment,160000.0,90000.0,,20000.0,270000
BELLA SARA 2  THE MAGIC OF DRASILMARE,3DS,2013,Adventure,Big Ben Interactive,,20000.0,,,20000
BEN 10 GALACTIC RACING,3DS,2011,Racing,D3Publisher,70000.0,60000.0,,10000.0,130000
BEN 10 OMNIVERSE 2,3DS,2013,Action,Namco Bandai Games,,20000.0,,,20000
BEYBLADE EVOLUTION,3DS,2013,Action,Rising Star Games,20000.0,10000.0,,,30000
BLAZBLUE CONTINUUM SHIFT II,3DS,2011,Fighting,PQube,50000.0,10000.0,40000.0,10000.0,110000
BRAIN AGE CONCENTRATION TRAINING,3DS,2012,Puzzle,Nintendo,90000.0,,,10000.0,90000
BRAVELY DEFAULT FLYING FAIRY,3DS,2012,Role-Playing,Nintendo,500000.0,320000.0,490000.0,70000.0,1380000
BRAVELY SECOND END LAYER,3DS,2015,Role-Playing,Nintendo,160000.0,110000.0,180000.0,30000.0,470000
BRUNSWICK PRO BOWLING,3DS,2011,Sports,Crave Entertainment,110000.0,,,10000.0,120000
BUSTAMOVE UNIVERSE,3DS,2011,Puzzle,Square Enix,80000.0,150000.0,60000.0,30000.0,310000
CAPTAIN AMERICA SUPER SOLDIER,3DS,2011,Action,Sega,50000.0,20000.0,,10000.0,80000
CARD FIGHT VANGUARD G STRIDE TO VICTORY,3DS,2016,Misc,FuRyu,,,40000.0,,40000
CARDFIGHT VANGUARD LOCK ON VICTORY,3DS,2014,Misc,FuRyu,,,70000.0,,70000
CARDFIGHT VANGUARD RIDE TO VICTORY,3DS,2013,Misc,FuRyu,,,90000.0,,90000
CARNIVAL GAMES WILD WEST 3D,3DS,2011,Misc,Take-Two Interactive,60000.0,20000.0,,10000.0,90000
CARS 2,3DS,2011,Racing,Disney Interactive Studios,210000.0,,,20000.0,230000
CARTOON NETWORK PUNCH TIME EXPLOSION,3DS,2011,Fighting,Deep Silver,70000.0,20000.0,,10000.0,100000
CASTLEVANIA LORDS OF SHADOW  MIRROR OF FATE,3DS,2013,Action,Konami Digital Entertainment,40000.0,70000.0,30000.0,10000.0,150000
CAVE STORY 3D,3DS,2011,Platform,Nippon Ichi Software,90000.0,30000.0,10000.0,10000.0,140000
CENTIPEDE INFESTATION,3DS,2011,Shooter,Atari,40000.0,,,,50000
CHIBIROBO ZIP LASH,3DS,2015,Platform,Nintendo,90000.0,80000.0,60000.0,20000.0,240000
CHOUSOKU HENKEI GYROZETTER ALBATROSS NO TSUBASA,3DS,2013,Role-Playing,Square Enix,,,50000.0,,50000
CHORICCHI TAMAGOTCHI NO PUCHI PUCHI OMISECCHI,3DS,2012,Action,Namco Bandai Games,,,70000.0,,70000
CLASH OF ELEMENTALISTS,3DS,2013,Action,Unknown,,30000.0,,,30000
CODE NAME STEAM,3DS,2015,Strategy,Nintendo,140000.0,50000.0,10000.0,20000.0,220000
CODE OF PRINCESS,3DS,2012,Action,Agatsuma Entertainment,160000.0,,30000.0,10000.0,200000
COMBAT OF GIANTS DINOSAURS 3D,3DS,2011,Strategy,Ubisoft,250000.0,60000.0,50000.0,30000.0,390000
CONCEPTION II CHILDREN OF THE SEVEN STARS,3DS,2013,Role-Playing,Screenlife,90000.0,,30000.0,10000.0,120000
COOKING MAMA 4 KITCHEN MAGIC,3DS,2011,Simulation,505 Games,500000.0,70000.0,,40000.0,610000
COOKING MAMA 5 BON APPETIT,3DS,2013,Simulation,Office Create,,,30000.0,,30000
COOKING MAMA MY SWEETS SHOP,3DS,2014,Simulation,Office Create,,,30000.0,,30000
CORPSE PARTY BLOOD COVERED  REPEATED FEAR,3DS,2015,Adventure,5pb,,,40000.0,,40000
CRAYON SHINCHAN UCHUU DE ACHOO YUUJOU NO OBAKARATE,3DS,2011,Action,Namco Bandai Games,,,20000.0,,20000
CRAYON SHINCHAN ARASHI O YOBU KASUKABE EIGA STARS,3DS,2014,Adventure,Namco Bandai Games,,,60000.0,,60000
CRUSH3D,3DS,2012,Platform,Sega,70000.0,40000.0,,10000.0,120000
CUBIC NINJA,3DS,2011,Platform,Ubisoft,50000.0,40000.0,,10000.0,100000
CULDCEPT,3DS,2012,Misc,Nintendo,,,160000.0,,160000
CULDCEPT REVOLT,3DS,2016,Strategy,Nintendo,,,50000.0,,50000
CUT THE ROPE,3DS,2014,Puzzle,Activision,60000.0,,,10000.0,70000
DAIGASSO BAND BROTHERS P,3DS,2013,Misc,Nintendo,,,180000.0,,180000
DANGEROUS JISAN TO 1000NIN NO OTOMODACHI YOKOSHIMA,3DS,2012,Action,Namco Bandai Games,,,80000.0,,80000
DEAD OR ALIVE DIMENSIONS,3DS,2011,Fighting,Ubisoft Annecy,130000.0,210000.0,70000.0,30000.0,450000
DECA SPORTS EXTREME,3DS,2011,Sports,Hudson Soft,80000.0,,30000.0,10000.0,120000
DEER DRIVE LEGENDS,3DS,2012,Action,Maximum Family Games,30000.0,,,,30000
DERBY STALLION GOLD,3DS,2014,Sports,Kadokawa Shoten,,,140000.0,,140000
DETECTIVE CONAN MARIONETTE SYMPHONY,3DS,2013,Adventure,Namco Bandai Games,,,50000.0,,50000
DETECTIVE CONAN PHANTOM RHAPSODY,3DS,2014,Action,Namco Bandai Games,,,30000.0,,30000
DETECTIVE JINGUUJI SABURO RONDE REVENGE,3DS,2012,Action,Arc System Works,,,20000.0,,20000
DEVIL SURVIVOR OVER CLOCK,3DS,2015,Strategy,Atlus,,,20000.0,,20000
DIGIMON WORLD REDIGITIZE DECODE,3DS,2013,Role-Playing,Namco Bandai Games,,,90000.0,,90000
DISNEY ART ACADEMY,3DS,2016,Action,Nintendo,10000.0,10000.0,70000.0,,90000
DISNEY INFINITY,3DS,2013,Action,Disney Interactive Studios,160000.0,100000.0,,20000.0,290000
DISNEY MAGIC WORLD 2,3DS,2015,Action,Nintendo,,,190000.0,,190000
DISNEY MAGICAL WORLD,3DS,2013,Adventure,Nintendo,160000.0,200000.0,530000.0,30000.0,920000
DISNEY PLANES FIRE  RESCUE,3DS,2014,Action,Disney Interactive Studios,10000.0,80000.0,,10000.0,100000
DISNEYS PLANES,3DS,2013,Simulation,Disney Interactive Studios,40000.0,30000.0,,10000.0,70000
DOCTOR LAUTREC AND THE FORGOTTEN KNIGHTS,3DS,2011,Adventure,Konami Digital Entertainment,70000.0,50000.0,30000.0,10000.0,160000
DOKI DOKI PRECURE NARIKIRI LIFE,3DS,2013,Action,Namco Bandai Games,,,40000.0,,40000
DOLLY KANON DOKIDOKI TOKIMEKI HIMITSU NO ONGAKU KATSUDOU START DESU,3DS,2014,Adventure,Happinet,,,40000.0,,40000
DONKEY KONG COUNTRY RETURNS,3DS,2013,Platform,Nintendo,730000.0,620000.0,400000.0,120000.0,1870000
DORAMOJI NOBITA NO KANJI DAISAKUSEN,3DS,2015,Misc,Shogakukan,,,30000.0,,30000
DORAEMON NOBITA AND THE ISLAND OF MIRACLES,3DS,2012,Action,FuRyu,,,80000.0,,80000
DORAEMON NOBITA NO UCHUU EIYUUKI,3DS,2015,Action,FuRyu,,,60000.0,,60000
DORAEMON NOBITA TO HIMITSU DOUGU HAKUBUTSUKAN,3DS,2013,Action,FuRyu,,,70000.0,,70000
DORAEMON SHIN NOBITA NO DAIMAKYOU PEKO TO 5NIN NO TANKENTA,3DS,2014,Action,FuRyu,,,40000.0,,40000
DORAEMON SHIN NOBITA NO NIHON TANJOU,3DS,2016,Misc,FuRyu,,,40000.0,,40000
DOWNTOWN NEKKETSU JIDAIGEK,3DS,2015,Action,Arc System Works,,,20000.0,,20000
DOWNTOWN NO GAKI NO TSUKAI YAARAHEN DE ZETTAI NI TSUKAMATTE HAIKENAI GASU KUROBIKARI LAND,3DS,2015,Action,Alchemist,,,50000.0,,50000
DRAGON BALL HEROES ULTIMATE MISSION,3DS,2013,Misc,Namco Bandai Games,,,290000.0,,290000
DRAGON BALL HEROES ULTIMATE MISSION 2,3DS,2014,Strategy,Namco Bandai Games,,,310000.0,,310000
DRAGON BALL Z EXTREME BUTODEN,3DS,2015,Fighting,Namco Bandai Games,120000.0,30000.0,160000.0,20000.0,330000
DRAGON BALL FUSIONS,3DS,2016,Role-Playing,Namco Bandai Games,,,170000.0,,170000
DRAGON QUEST MONSTERS 2,3DS,2014,Role-Playing,Square Enix,,,790000.0,,790000
DRAGON QUEST MONSTERS JOKER 3,3DS,2016,Role-Playing,Square Enix,,,630000.0,,630000
DRAGON QUEST MONSTERS TERRYS WONDERLAND 3D,3DS,2012,Role-Playing,Square Enix,,,960000.0,,960000
DRAGON QUEST VII WARRIORS OF EDEN,3DS,2013,Role-Playing,Square Enix,70000.0,40000.0,1300000.0,10000.0,1420000
DRAGON QUEST VIII JOURNEY OF THE CURSED KING,3DS,2015,Role-Playing,Square Enix,,,860000.0,,860000
DRAGON QUEST X,3DS,2014,Role-Playing,Square Enix,,,170000.0,,170000
DREAM GIRL PREMIER,3DS,2015,Misc,Alchemist,,,30000.0,,30000
DREAMWORKS SUPER STAR KARTZ,3DS,2011,Racing,Activision,80000.0,30000.0,,10000.0,120000
DRIVER RENEGADE,3DS,2011,Racing,Ubisoft,50000.0,40000.0,,10000.0,90000
DUALPENSPORTS,3DS,2011,Sports,Namco Bandai Games,50000.0,50000.0,,10000.0,110000
DYNASTY WARRIORS VS,3DS,2012,Action,Ackkstudios,,,60000.0,,60000
EX TROOPERS,3DS,2012,Shooter,Capcom,,,70000.0,,70000
EPIC MICKEY POWER OF ILLUSION,3DS,2012,Action,Disney Interactive Studios,360000.0,40000.0,40000.0,40000.0,490000
ETRIAN MYSTERY DUNGEON,3DS,2015,Role-Playing,Nippon Ichi Software,90000.0,10000.0,120000.0,10000.0,230000
ETRIAN ODYSSEY 2 UNTOLD KNIGHT OF FAFNIR,3DS,2014,Role-Playing,Atlus,70000.0,20000.0,,10000.0,90000
ETRIAN ODYSSEY II HEROES OF LAGAARD,3DS,2014,Role-Playing,Atlus,,,100000.0,,100000
ETRIAN ODYSSEY IV LEGENDS OF THE TITANS,3DS,2012,Role-Playing,Atlus,120000.0,50000.0,200000.0,10000.0,380000
ETRIAN ODYSSEY UNTOLD THE MILLENNIUM GIRL,3DS,2013,Role-Playing,Atlus,100000.0,10000.0,140000.0,10000.0,260000
ETRIAN ODYSSEY V,3DS,2016,Role-Playing,Atlus,,,120000.0,,120000
EXSTETRA,3DS,2013,Role-Playing,FuRyu,,,10000.0,,10000
F1 2011,3DS,2011,Racing,Codemasters,70000.0,80000.0,,20000.0,160000
FIFA 12,3DS,2011,Sports,Electronic Arts,80000.0,260000.0,,50000.0,390000
FIFA 14,3DS,2013,Sports,Electronic Arts,,230000.0,,30000.0,250000
FIFA 15,3DS,2014,Sports,Electronic Arts,90000.0,330000.0,,30000.0,450000
FIFA SOCCER 13,3DS,2012,Action,Electronic Arts,60000.0,200000.0,,30000.0,290000
FABSTYLE,3DS,2011,Strategy,Tecmo Koei,,,30000.0,,30000
FAMICOM REMIX BEST CHOICE,3DS,2015,Action,Nintendo,,,40000.0,,40000
FAMISTA RETURNS,3DS,2015,Sports,Namco Bandai Games,,,140000.0,,140000
FANTASY LIFE,3DS,2012,Role-Playing,Nintendo,330000.0,370000.0,370000.0,60000.0,1130000
FARMING SIMULATOR 2012,3DS,2012,Action,Excalibur Publishing,,120000.0,,20000.0,140000
FATEKALEID LINER PRISMA ILLYA,3DS,2014,Action,Kadokawa Games,,,10000.0,,10000
FINAL FANTASY EXPLORERS,3DS,2014,Role-Playing,Square Enix,150000.0,70000.0,280000.0,20000.0,520000
FIRE EMBLEM FATES,3DS,2015,Role-Playing,Nintendo,710000.0,220000.0,520000.0,100000.0,1540000
FIRE EMBLEM AWAKENING,3DS,2012,Role-Playing,Nintendo,890000.0,450000.0,530000.0,130000.0,2000000
FOSSIL FIGHTERS FRONTIER,3DS,2014,Role-Playing,Nintendo,80000.0,40000.0,230000.0,10000.0,350000
FROGGER 3D,3DS,2011,Action,Konami Digital Entertainment,160000.0,30000.0,,10000.0,200000
FROZEN OLAFS QUEST,3DS,2013,Platform,Disney Interactive Studios,270000.0,260000.0,,50000.0,580000
FUJIKO F FUJIO CHARACTERS GREAT ASSEMBLY SLIGHTLY FANTASTIC SLAPSTICK PARTY,3DS,2014,Action,Namco Bandai Games,,,10000.0,,10000
FUNKY BARN,3DS,2012,Simulation,Ubisoft,70000.0,30000.0,,10000.0,110000
FUTURE CARD BUDDY FIGHT YUUJOU NO BAKUNETSU FIGHT,3DS,2015,Action,FuRyu,,,70000.0,,70000
G1 GRAND PRIX,3DS,2012,Action,Genki,,,50000.0,,50000
GABRIELLES GHOSTLY GROOVE 3D,3DS,2011,Adventure,Funbox Media,80000.0,20000.0,,10000.0,110000
GAIST CRUSHER,3DS,2013,Action,Capcom,,,50000.0,,50000
GAIST CRUSHER GOD,3DS,2014,Action,Capcom,,,20000.0,,20000
GAME CENTER CX 3CHOUME NO ARINO,3DS,2014,Action,Namco Bandai Games,,,60000.0,,60000
GEM SMASHERS,3DS,2011,Platform,Crave Entertainment,40000.0,,,,40000
GENERATOR REX AGENT OF PROVIDENCE,3DS,2011,Action,Activision,70000.0,20000.0,,10000.0,100000
GIRLS MODE 3 KIRAKIRA CODE,3DS,2015,Action,Nintendo,,,230000.0,,230000
GIRLS RPG CINDERELLIFE,3DS,2012,Role-Playing,Level 5,,,60000.0,,60000
GON BAKUBAKUBAKUBAKU ADVENTURE,3DS,2012,Action,Namco Bandai Games,,,20000.0,,20000
GOOSEBUMPS THE GAME,3DS,2015,Adventure,WayForward Technologies,50000.0,,,10000.0,50000
GOTOUCHI TETSUDOU GOTOUCHI CHARA TO NIHON ZENKOKU NO TABI,3DS,2014,Misc,Namco Bandai Games,,,120000.0,,120000
GRAVITY FALLS LEGEND OF THE GNOME GEMULETS,3DS,2015,Action,Ubisoft,30000.0,,,,40000
GREAT PHOENIX WRIGHT ACE ATTORNEY  NARUHODOU RYUUNOSUKE NO BOUKEN,3DS,2015,Action,Capcom,,,190000.0,,190000
GREEN LANTERN RISE OF THE MANHUNTERS,3DS,2011,Action,Warner Bros. Interactive Entertainment,90000.0,30000.0,,10000.0,130000
