Sega Saturn Game Title,Sega Saturn Price
Radiant Silvergun,0.00
Rampage World Tour,102.18
Rayman,77.70
Resident Evil,171.39
Resurrection: Rise 2,24.43
Revolution X,25.10
Road & Track Presents: The Need for Speed,34.02
Road Rash,46.89
Robo Pit,42.04
Robotica,19.76
Romance of the Three Kingdoms IV: Wall of Fire,33.79
Saturn Bomberman,379.58
Scorcher,34.21
Scud: The Disposable Assassin,40.47
Sega Ages,245.22
Sega Rally Championship,14.88
Sega Rally Championship: NetLink Edition,34.90
Sega Saturn,126.98
Sega Saturn 3D Analog Controller [Black],0.00
Sega Saturn Backup Memory Card,0.00
Sega Saturn Backup RAM,52.64
Sega Saturn MK2 Control Pad,0.00
Sega Saturn Virtua Stick,32.89
Sega Touring Car Championship,48.30
Sega Worldwide Soccer 97,11.03
Sega Worldwide Soccer 98,24.28
Shanghai: Triple Threat,21.38
Shellshock,24.36
Shining Force III,299.47
Shining Wisdom,207.17
Shining the Holy Ark,184.82
Shinobi Legions,94.85
Shockwave Assault,25.34
SimCity 2000,34.06
Skeleton Warriors,33.30
Sky Target,54.30
Slam n Jam 96 featuring Magic & Kareem,16.99
Solar Eclipse,27.02
Sonic 3D Blast,54.00
Sonic Jam,165.50
Sonic R,135.35
Soviet Strike,23.06
Space Hulk: Vengeance of the Blood Angels,28.92
Space Jam,36.86
Spot Goes to Hollywood,44.47
Star Fighter,15.32
Steep Slope Sliders,58.08
Street Fighter Alpha 2,81.59
Street Fighter Alpha: Warriors Dreams,51.77
Street Fighter Collection,221.11
Street Fighter: The Movie,41.53
Striker 96,11.07
Super Puzzle Fighter II Turbo,173.54
TNN Motor Sports Hardcore 4X4,9.86
Tempest 2000,110.58
Ten Pin Alley,26.18
Tetris Plus,28.94
Theme Park,26.73
Three Dirty Dwarves,139.81
Thunderstrike 2,19.75
Tomb Raider,28.44
True Pinball,33.59
Tunnel B1,15.26
Ultimate Mortal Kombat 3,50.57
VR Golf 97,16.37
VR Soccer,6.83
VR Virtua Racing,25.36
Valora Valley Golf,59.90
Virtua Cop 2,48.38
Virtua Cop 2 [Big Box],132.74
Virtua Cop [Big Box],123.27
Virtua Cop [Long Box],46.55
Virtua Cop [Not For Resale],10.60
Virtua Fighter,18.96
Virtua Fighter 2,6.97
Virtua Fighter 2 - Virtua Cop - Daytona USA [Not For Resale Pack],35.32
Virtua Fighter Kids,36.39
Virtua Fighter Remix [Long Box],235.61
Virtua Fighter Remix [Not For Resale],21.23
Virtual Casino,33.36
Virtual Hydlide,59.61
Virtual On: Cyber Troopers,52.83
Virtual On: Cyber Troopers: NetLink Edition,43.68
Virtual Open Tennis,15.37
WWF In Your House,39.75
WWF Wrestlemania: The Arcade Game,56.61
Warcraft II: The Dark Saga,67.85
Wing Arms,32.11
Winning Post,197.03
Winter Heat,74.06
Wipeout,29.44
World Cup Golf: Professional Edition,28.54
World Series Baseball,9.20
World Series Baseball 98,31.40
World Series Baseball II,11.96
Worldwide Soccer,9.52
Worms,58.99
X-Men: Children of the Atom,82.08
