Name,Platform LabelCode,Year,Genre LabelCode,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Console,Game Title,Price,Mean,Median,Platform_0,Platform_1,Platform_2,Platform_3,Platform_4,Platform_5,Platform_6,Platform_7,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10,Genre_11
FROGGER,0,1981,0,Parker Bros.,2060000,120000,0,20000,2200000,2600,FROGGER,20,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FROGS AND FLIES,0,1981,0,Mattel Interactive,330000,20000,0,0,360000,2600,FROGS AND FLIES,12,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FRONT LINE,0,1981,0,Taito,220000,10000,0,0,240000,2600,FRONT LINE,78,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FROSTBITE,0,1983,0,Activision,320000,20000,0,0,340000,2600,FROSTBITE,57,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GALAXIAN,0,1982,8,Atari,720000,50000,0,10000,770000,2600,GALAXIAN,18,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GHOSTBUSTERS,0,1985,5,Activision,420000,30000,0,0,450000,2600,GHOSTBUSTERS,44,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GRAND PRIX,0,1981,6,Activision,450000,30000,0,0,480000,2600,GRAND PRIX,17,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GREMLINS,0,1983,0,Atari,430000,30000,0,0,460000,2600,GREMLINS,81,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ICE HOCKEY,0,1980,10,Activision,460000,30000,0,10000,490000,2600,ICE HOCKEY,16,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JAWBREAKER,0,1981,0,Tigervision,420000,30000,0,0,450000,2600,JAWBREAKER,85,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JOUST,0,1982,4,Atari,1010000,60000,0,10000,1080000,2600,JOUST,27,False,True,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JR PACMAN,0,1983,5,Atari,720000,50000,0,10000,780000,2600,JR PACMAN,17,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JUNGLE HUNT,0,1982,4,Atari,1030000,60000,0,10000,1100000,2600,JUNGLE HUNT,14,False,False,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KABOOM,0,1980,3,Activision,1070000,70000,0,10000,1150000,2600,KABOOM,21,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KANGAROO,0,1982,4,Atari,670000,40000,0,10000,720000,2600,KANGAROO,13,False,False,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KEYSTONE KAPERS,0,1982,0,Activision,620000,40000,0,10000,660000,2600,KEYSTONE KAPERS,35,False,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KING KONG,0,1981,0,Tigervision,650000,40000,0,10000,690000,2600,KING KONG,116,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KRULL,0,1982,0,Atari,130000,10000,0,0,140000,2600,KRULL,55,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KUNGFU MASTER,0,1987,0,Activision,600000,40000,0,10000,650000,2600,KUNGFU MASTER,43,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LASER BLAST,0,1981,0,Activision,370000,20000,0,0,390000,2600,LASER BLAST,15,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MARIO BROS,0,1982,4,Atari,1480000,90000,0,20000,1590000,2600,MARIO BROS,75,True,True,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MEGAMANIA,0,1981,8,Activision,1030000,60000,0,10000,1100000,2600,MEGAMANIA,24,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIDNIGHT MAGIC,0,1983,0,Atari,470000,30000,0,10000,500000,2600,MIDNIGHT MAGIC,15,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MILLIPEDE,0,1983,8,Atari,450000,30000,0,10000,480000,2600,MILLIPEDE,19,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MOON PATROL,0,1982,8,Atari,1050000,60000,0,10000,1120000,2600,MOON PATROL,16,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MOUNTAIN KING,0,1982,0,CBS Electronics,290000,20000,0,0,310000,2600,MOUNTAIN KING,21,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MR DO,0,1982,0,Coleco,260000,20000,0,0,270000,2600,MR DO,70,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MS PACMAN,0,1981,5,Atari,1540000,100000,0,20000,1650000,2600,MS PACMAN,16,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PHOENIX,0,1981,9,Atari,420000,20000,0,0,450000,2600,PHOENIX,15,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PITFALL II LOST CAVERNS,0,1983,4,Activision,1220000,70000,0,20000,1310000,2600,PITFALL II LOST CAVERNS,87,True,True,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PITFALL,0,1981,4,Activision,4210000,240000,0,50000,4500000,2600,PITFALL,25,False,False,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
POLE POSITION,0,1982,6,Atari,1100000,70000,0,10000,1180000,2600,POLE POSITION,11,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
POPEYE,0,1982,4,Parker Bros.,500000,30000,0,10000,540000,2600,POPEYE,24,False,False,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PORKYS,0,1982,0,20th Century Fox Video Games,230000,10000,0,0,250000,2600,PORKYS,56,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PRESSURE COOKER,0,1982,0,Activision,140000,10000,0,0,150000,2600,PRESSURE COOKER,86,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
QBERT,0,1982,5,Parker Bros.,550000,30000,0,10000,580000,2600,QBERT,27,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RAIDERS OF THE LOST ARK,0,1981,0,Atari,460000,30000,0,10000,500000,2600,RAIDERS OF THE LOST ARK,20,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RAMPAGE,0,1988,0,Activision,220000,10000,0,0,240000,2600,RAMPAGE,69,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
REACTOR,0,1981,0,Parker Bros.,210000,10000,0,0,220000,2600,REACTOR,14,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
REALSPORTS BASEBALL,0,1981,10,Atari,200000,10000,0,0,210000,2600,REALSPORTS BASEBALL,8,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
REALSPORTS BOXING,0,1986,10,Atari,280000,20000,0,0,290000,2600,REALSPORTS BOXING,12,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
REALSPORTS FOOTBALL,0,1981,10,Atari,240000,10000,0,0,260000,2600,REALSPORTS FOOTBALL,10,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
REALSPORTS TENNIS,0,1982,10,Atari,460000,30000,0,10000,500000,2600,REALSPORTS TENNIS,11,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
REALSPORTS VOLLEYBALL,0,1981,10,Atari,120000,10000,0,0,130000,2600,REALSPORTS VOLLEYBALL,11,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RIVER RAID,0,1981,8,Activision,1490000,90000,0,20000,1600000,2600,RIVER RAID,22,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RIVER RAID II,0,1988,8,Activision,470000,30000,0,10000,510000,2600,RIVER RAID II,50,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SMURF RESCUE IN GARGAMELS CASTLE,0,1981,0,Coleco,550000,30000,0,10000,590000,2600,SMURF RESCUE IN GARGAMELS CASTLE,37,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SOLARIS,0,1986,8,Atari,350000,20000,0,0,370000,2600,SOLARIS,16,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SPIDERMAN,0,1981,0,Parker Bros.,870000,50000,0,10000,930000,2600,SPIDERMAN,45,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SUPER BASEBALL,0,1987,10,Atari,70000,0,0,0,70000,2600,SUPER BASEBALL,15,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SUPER FOOTBALL,0,1987,10,Atari,70000,0,0,0,80000,2600,SUPER FOOTBALL,11,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
THE ACTIVISION DECATHLON,0,1982,10,Activision,520000,30000,0,10000,550000,2600,THE ACTIVISION DECATHLON,23,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BEYOND OASIS,1,1993,7,Sega,0,0,50000,0,50000,GEN,BEYOND OASIS,86,True,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DYNAMITE HEADDY,1,1993,4,Sega,0,0,50000,0,50000,GEN,DYNAMITE HEADDY,43,True,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ECCO THE DOLPHIN,1,1992,1,Sega,0,0,120000,0,120000,GEN,ECCO THE DOLPHIN,17,False,False,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ECCO THE TIDES OF TIME,1,1993,1,Sega,0,0,70000,0,70000,GEN,ECCO THE TIDES OF TIME,15,False,False,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GUNSTAR HEROES,1,1992,8,Sega,0,0,130000,0,130000,GEN,GUNSTAR HEROES,137,True,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MORTAL KOMBAT,1,1992,2,Arena Entertainment,1950000,630000,0,90000,2670000,GEN,MORTAL KOMBAT,22,False,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MORTAL KOMBAT 3,1,1994,2,Acclaim Entertainment,1030000,270000,0,40000,1340000,GEN,MORTAL KOMBAT 3,21,False,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NBA JAM,1,1992,10,Arena Entertainment,1750000,250000,0,50000,2049999,GEN,NBA JAM,16,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NBA JAM TOURNAMENT EDITION,1,1994,10,Acclaim Entertainment,950000,140000,0,30000,1110000,GEN,NBA JAM TOURNAMENT EDITION,21,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SHINING FORCE II,1,1993,11,Sega,0,0,190000,0,190000,GEN,SHINING FORCE II,97,True,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SONIC  KNUCKLES,1,1994,4,Sega,1240000,430000,30000,120000,1820000,GEN,SONIC  KNUCKLES,55,True,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SONIC THE HEDGEHOG,1,1991,4,Sega,3030000,910000,260000,130000,4340000,GEN,SONIC THE HEDGEHOG,32,False,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SONIC THE HEDGEHOG 2,1,1992,4,Sega,4470000,1200000,160000,190000,6030000,GEN,SONIC THE HEDGEHOG 2,17,False,False,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SONIC THE HEDGEHOG 3,1,1994,4,Sega,1020000,470000,200000,70000,1760000,GEN,SONIC THE HEDGEHOG 3,40,True,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
STREET FIGHTER II SPECIAL CHAMPION EDITION,1,1992,2,Sega,1000000,300000,310000,40000,1660000,GEN,STREET FIGHTER II SPECIAL CHAMPION EDITION,22,False,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
STREETS OF RAGE,1,1990,0,Sega,1860000,550000,110000,80000,2600000,GEN,STREETS OF RAGE,60,True,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VIRTUA RACING,1,1994,6,Sega,0,0,260000,0,260000,GEN,VIRTUA RACING,32,False,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
007 THE WORLD IS NOT ENOUGH,2,2000,0,Electronic Arts,1130000,380000,20000,30000,1550000,N64,007 THE WORLD IS NOT ENOUGH,36,False,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A BUGS LIFE,2,1998,4,Activision,490000,130000,0,10000,630000,N64,A BUGS LIFE,25,False,False,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AIDYN CHRONICLES THE FIRST MAGE,2,2001,7,THQ,80000,20000,0,0,100000,N64,AIDYN CHRONICLES THE FIRST MAGE,55,True,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALLSTAR BASEBALL 2000,2,1999,10,Acclaim Entertainment,360000,30000,0,0,390000,N64,ALLSTAR BASEBALL 2000,18,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALLSTAR BASEBALL 2001,2,2000,10,Acclaim Entertainment,220000,10000,0,0,230000,N64,ALLSTAR BASEBALL 2001,27,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALLSTAR BASEBALL 99,2,1998,10,Acclaim Entertainment,440000,40000,0,0,480000,N64,ALLSTAR BASEBALL 99,12,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARMORINES PROJECT SWARM,2,1999,8,Acclaim Entertainment,210000,50000,0,0,260000,N64,ARMORINES PROJECT SWARM,33,False,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARMY MEN AIR COMBAT,2,2000,0,3DO,190000,50000,0,0,240000,N64,ARMY MEN AIR COMBAT,33,False,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARMY MEN SARGES HEROES,2,1999,0,3DO,680000,120000,0,10000,810000,N64,ARMY MEN SARGES HEROES,29,False,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARMY MEN SARGES HEROES 2,2,2000,8,3DO,340000,70000,0,0,420000,N64,ARMY MEN SARGES HEROES 2,42,True,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASTEROIDS HYPER 64,2,1999,8,Crave Entertainment,130000,30000,0,0,160000,N64,ASTEROIDS HYPER 64,64,True,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUTOMOBILI LAMBORGHINI,2,1997,6,Titus,280000,170000,0,10000,470000,N64,AUTOMOBILI LAMBORGHINI,31,False,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BANJOKAZOOIE,2,1998,4,Nintendo,1870000,1130000,550000,100000,3650000,N64,BANJOKAZOOIE,121,True,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BANJOTOOIE,2,2000,4,Nintendo,820000,360000,250000,60000,1490000,N64,BANJOTOOIE,118,True,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BASS HUNTER 64,2,1999,10,Take-Two Interactive,250000,60000,0,0,310000,N64,BASS HUNTER 64,18,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BATMAN BEYOND RETURN OF THE JOKER,2,2000,0,Ubisoft,70000,20000,0,0,90000,N64,BATMAN BEYOND RETURN OF THE JOKER,69,True,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BATTLETANX,2,1998,0,3DO,260000,60000,0,0,330000,N64,BATTLETANX,43,True,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BATTLETANX GLOBAL ASSAULT,2,1999,0,3DO,310000,70000,0,0,390000,N64,BATTLETANX GLOBAL ASSAULT,43,True,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BEETLE ADVENTURE RACING,2,1999,6,Electronic Arts,400000,200000,0,20000,620000,N64,BEETLE ADVENTURE RACING,54,True,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BIG MOUNTAIN 2000,2,1998,10,Imagineer,20000,10000,0,0,30000,N64,BIG MOUNTAIN 2000,106,True,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BIO FREAKS,2,1998,0,GT Interactive,110000,30000,0,0,140000,N64,BIO FREAKS,22,False,False,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLAST CORPS,2,1997,0,Nintendo,390000,90000,170000,60000,710000,N64,BLAST CORPS,67,True,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BLUES BROTHERS 2000,2,2000,4,Virgin Interactive,40000,10000,0,0,50000,N64,BLUES BROTHERS 2000,96,True,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BODY HARVEST,2,1998,8,Gremlin Interactive Ltd,160000,40000,0,0,200000,N64,BODY HARVEST,66,True,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BOMBERMAN 64,2,1997,5,Hudson Soft,500000,200000,310000,30000,1040000,N64,BOMBERMAN 64,80,True,True,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BOMBERMAN HERO,2,1998,4,Nintendo,270000,60000,80000,50000,470000,N64,BOMBERMAN HERO,78,True,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BRUNSWICK CIRCUIT PRO BOWLING,2,1999,10,THQ,50000,10000,0,0,60000,N64,BRUNSWICK CIRCUIT PRO BOWLING,68,True,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BUCK BUMBLE,2,1998,0,Ubisoft,130000,30000,0,0,160000,N64,BUCK BUMBLE,100,True,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BUSTAMOVE 99,2,1998,5,Acclaim Entertainment,50000,10000,0,0,60000,N64,BUSTAMOVE 99,77,True,True,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BUSTAMOVE 2 ARCADE EDITION,2,1997,5,Acclaim Entertainment,60000,20000,0,0,80000,N64,BUSTAMOVE 2 ARCADE EDITION,41,True,True,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CALIFORNIA SPEED,2,1999,3,Midway Games,130000,30000,0,0,160000,N64,CALIFORNIA SPEED,33,False,True,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CASTLEVANIA,2,1999,4,Konami Digital Entertainment,440000,100000,40000,50000,640000,N64,CASTLEVANIA,71,True,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CHAMELEON TWIST,2,1997,4,Sunsoft,90000,20000,0,0,110000,N64,CHAMELEON TWIST,124,True,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
