Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
CUSTERS REVENGE,2600,1981,Action,Mystique,760000.0,50000.0,,10000.0,820000
DARK CAVERN,2600,1981,Shooter,Mattel Interactive,220000.0,10000.0,,,240000
DEADLY DUCK,2600,1981,Shooter,20th Century Fox Video Games,210000.0,10000.0,,,220000
DEATH TRAP,2600,1982,Action,Avalon Interactive,150000.0,10000.0,,,170000
DEFENDER,2600,1980,Misc,Atari,990000.0,50000.0,,10000.0,1050000
DEFENDER II,2600,1987,Shooter,Atari,420000.0,20000.0,,,450000
DEMON ATTACK,2600,1981,Shooter,Imagic,1990000.0,120000.0,,20000.0,2130000
DESERT FALCON,2600,1987,Shooter,Atari,240000.0,10000.0,,,260000
DIG DUG,2600,1982,Puzzle,Atari,1520000.0,100000.0,,20000.0,1640000
DOLPHIN,2600,1983,Action,Activision,270000.0,20000.0,,,290000
DONKEY KONG,2600,1981,Platform,Coleco,1360000.0,80000.0,,20000.0,1460000
DONKEY KONG JUNIOR,2600,1981,Platform,Atari,900000.0,50000.0,,10000.0,970000
DOUBLE DRAGON,2600,1989,Action,Activision,450000.0,20000.0,,10000.0,470000
DRAGONFIRE,2600,1981,Action,Imagic,350000.0,20000.0,,,370000
ET THE EXTRA TERRESTRIAL,2600,1981,Action,Atari,1840000.0,110000.0,,20000.0,1970000
ENDURO,2600,1982,Misc,Quelle,810000.0,50000.0,,10000.0,870000
FANTASTIC VOYAGE,2600,1981,Action,20th Century Fox Video Games,320000.0,20000.0,,,340000
FAST FOOD,2600,1981,Action,Unknown,270000.0,20000.0,,,290000
FIREBALL,2600,1981,Action,Starpath Corp.,300000.0,20000.0,,,330000
FRANKENSTEINS MONSTER,2600,1982,Action,Data Age,300000.0,20000.0,,,320000
FREEWAY,2600,1980,Action,Activision,320000.0,20000.0,,,340000
FROGGER,2600,1981,Action,Parker Bros.,2060000.0,120000.0,,20000.0,2200000
FROGGER II THREEEDEEP,2600,1983,Action,Parker Bros.,310000.0,20000.0,,,330000
FROGS AND FLIES,2600,1981,Action,Mattel Interactive,330000.0,20000.0,,,360000
FRONT LINE,2600,1981,Action,Taito,220000.0,10000.0,,,240000
FROSTBITE,2600,1983,Action,Activision,320000.0,20000.0,,,340000
GALAXIAN,2600,1982,Shooter,Atari,720000.0,50000.0,,10000.0,770000
GAUNTLET,2600,1982,Action,Answer Software,460000.0,30000.0,,10000.0,500000
GHOSTBUSTERS,2600,1985,Puzzle,Activision,420000.0,30000.0,,,450000
GRAND PRIX,2600,1981,Racing,Activision,450000.0,30000.0,,,480000
GRAVITAR,2600,1982,Action,Atari,350000.0,20000.0,,,380000
GREMLINS,2600,1983,Action,Atari,430000.0,30000.0,,,460000
HALLOWEEN,2600,1982,Action,Wizard Video Games,580000.0,30000.0,,10000.0,620000
ICE HOCKEY,2600,1980,Sports,Activision,460000.0,30000.0,,10000.0,490000
INTERNATIONAL SOCCER,2600,1981,Sports,Mattel Interactive,180000.0,10000.0,,,190000
JAWBREAKER,2600,1981,Action,Tigervision,420000.0,30000.0,,,450000
JOUST,2600,1982,Platform,Atari,1010000.0,60000.0,,10000.0,1080000
JR PACMAN,2600,1983,Puzzle,Atari,720000.0,50000.0,,10000.0,780000
JUNGLE HUNT,2600,1982,Platform,Atari,1030000.0,60000.0,,10000.0,1100000
KABOOM,2600,1980,Misc,Activision,1070000.0,70000.0,,10000.0,1150000
KANGAROO,2600,1982,Platform,Atari,670000.0,40000.0,,10000.0,720000
KEYSTONE KAPERS,2600,1982,Action,Activision,620000.0,40000.0,,10000.0,660000
KING KONG,2600,1981,Action,Tigervision,650000.0,40000.0,,10000.0,690000
KLAX,2600,1989,Puzzle,Atari,140000.0,10000.0,,,150000
KRULL,2600,1982,Action,Atari,130000.0,10000.0,,,140000
KUNGFU MASTER,2600,1987,Action,Activision,600000.0,40000.0,,10000.0,650000
LASER BLAST,2600,1981,Action,Activision,370000.0,20000.0,,,390000
MARIO BROS,2600,1982,Platform,Atari,1480000.0,90000.0,,20000.0,1590000
MEGAMANIA,2600,1981,Shooter,Activision,1030000.0,60000.0,,10000.0,1100000
MIDNIGHT MAGIC,2600,1983,Action,Atari,470000.0,30000.0,,10000.0,500000
MILLIPEDE,2600,1983,Shooter,Atari,450000.0,30000.0,,10000.0,480000
MISSILE COMMAND,2600,1980,Shooter,Atari,2560000.0,170000.0,,30000.0,2760000
MOON PATROL,2600,1982,Shooter,Atari,1050000.0,60000.0,,10000.0,1120000
MOUNTAIN KING,2600,1982,Action,CBS Electronics,290000.0,20000.0,,,310000
MOUSE TRAP,2600,1981,Action,Coleco,380000.0,20000.0,,,400000
MR DO,2600,1982,Action,Coleco,260000.0,20000.0,,,270000
MR DOS CASTLE,2600,1983,Action,Parker Bros.,150000.0,10000.0,,,170000
MS PACMAN,2600,1981,Puzzle,Atari,1540000.0,100000.0,,20000.0,1650000
PACMAN,2600,1982,Puzzle,Atari,7280000.0,450000.0,,80000.0,7810000
PENGO,2600,1983,Adventure,Atari,380000.0,20000.0,,,400000
PHOENIX,2600,1981,Simulation,Atari,420000.0,20000.0,,,450000
PITFALL II LOST CAVERNS,2600,1983,Platform,Activision,1220000.0,70000.0,,20000.0,1310000
PITFALL,2600,1981,Platform,Activision,4210000.0,240000.0,,50000.0,4500000
POLARIS,2600,1982,Action,Tigervision,260000.0,20000.0,,,280000
POLE POSITION,2600,1982,Racing,Atari,1100000.0,70000.0,,10000.0,1180000
POPEYE,2600,1982,Platform,Parker Bros.,500000.0,30000.0,,10000.0,540000
PORKYS,2600,1982,Action,20th Century Fox Video Games,230000.0,10000.0,,,250000
PRESSURE COOKER,2600,1982,Action,Activision,140000.0,10000.0,,,150000
QBERT,2600,1982,Puzzle,Parker Bros.,550000.0,30000.0,,10000.0,580000
RAIDERS OF THE LOST ARK,2600,1981,Action,Atari,460000.0,30000.0,,10000.0,500000
RAMPAGE,2600,1988,Action,Activision,220000.0,10000.0,,,240000
REACTOR,2600,1981,Action,Parker Bros.,210000.0,10000.0,,,220000
REALSPORTS BASEBALL,2600,1981,Sports,Atari,200000.0,10000.0,,,210000
REALSPORTS BOXING,2600,1986,Sports,Atari,280000.0,20000.0,,,290000
REALSPORTS FOOTBALL,2600,1981,Sports,Atari,240000.0,10000.0,,,260000
REALSPORTS TENNIS,2600,1982,Sports,Atari,460000.0,30000.0,,10000.0,500000
REALSPORTS VOLLEYBALL,2600,1981,Sports,Atari,120000.0,10000.0,,,130000
RIVER RAID,2600,1981,Shooter,Activision,1490000.0,90000.0,,20000.0,1600000
RIVER RAID II,2600,1988,Shooter,Activision,470000.0,30000.0,,10000.0,510000
SMURF RESCUE IN GARGAMELS CASTLE,2600,1981,Action,Coleco,550000.0,30000.0,,10000.0,590000
SOLARIS,2600,1986,Shooter,Atari,350000.0,20000.0,,,370000
SPIDERMAN,2600,1981,Action,Parker Bros.,870000.0,50000.0,,10000.0,930000
SUPER BASEBALL,2600,1987,Sports,Atari,70000.0,,,,70000
SUPER FOOTBALL,2600,1987,Sports,Atari,70000.0,,,,80000
THE ACTIVISION DECATHLON,2600,1982,Sports,Activision,520000.0,30000.0,,10000.0,550000
XMAN,2600,1982,Action,Universal Gamex,580000.0,40000.0,,10000.0,630000
YARS REVENGE,2600,1982,Shooter,Atari,730000.0,40000.0,,10000.0,780000
BEYOND OASIS,GEN,1993,Role-Playing,Sega,,,50000.0,,50000
CASTLEVANIA BLOODLINES,GEN,1994,Platform,Konami Digital Entertainment,,,40000.0,,40000
DISNEYS THE LION KING,GEN,1994,Platform,Virgin Interactive,970000.0,370000.0,30000.0,50000.0,1410000
DRAGON SLAYER THE LEGEND OF HEROES,GEN,1994,Role-Playing,Sega,,,80000.0,,80000
DYNAMITE HEADDY,GEN,1993,Platform,Sega,,,50000.0,,50000
ECCO THE DOLPHIN,GEN,1992,Adventure,Sega,,,120000.0,,120000
ECCO THE TIDES OF TIME,GEN,1993,Adventure,Sega,,,70000.0,,70000
GUNSTAR HEROES,GEN,1992,Shooter,Sega,,,130000.0,,130000
JLEAGUE PRO STRIKER 2,GEN,1994,Sports,Sega,,,40000.0,,40000
LUNAR 2 ETERNAL BLUESALES BUT WRONG SYSTEM,GEN,1994,Role-Playing,Game Arts,,,140000.0,,140000
MORTAL KOMBAT,GEN,1992,Fighting,Arena Entertainment,1950000.0,630000.0,,90000.0,2670000
MORTAL KOMBAT 3,GEN,1994,Fighting,Acclaim Entertainment,1030000.0,270000.0,,40000.0,1340000
NBA JAM,GEN,1992,Sports,Arena Entertainment,1750000.0,250000.0,,50000.0,2049999
NBA JAM TOURNAMENT EDITION,GEN,1994,Sports,Acclaim Entertainment,950000.0,140000.0,,30000.0,1110000
PUZZLE  ACTION TANTR,GEN,1994,Misc,Sega,,,30000.0,,30000
SHINING FORCE II,GEN,1993,Strategy,Sega,,,190000.0,,190000
SONIC  KNUCKLES,GEN,1994,Platform,Sega,1240000.0,430000.0,30000.0,120000.0,1820000
SONIC THE HEDGEHOG,GEN,1991,Platform,Sega,3030000.0,910000.0,260000.0,130000.0,4340000
SONIC THE HEDGEHOG 2,GEN,1992,Platform,Sega,4470000.0,1200000.0,160000.0,190000.0,6030000
SONIC THE HEDGEHOG 3,GEN,1994,Platform,Sega,1020000.0,470000.0,200000.0,70000.0,1760000
STREET FIGHTER II SPECIAL CHAMPION EDITION,GEN,1992,Fighting,Sega,1000000.0,300000.0,310000.0,40000.0,1660000
STREET FIGHTER II SPECIAL CHAMPION EDITION JP WEEKLY SALES,GEN,1993,Action,Capcom,,,70000.0,,70000
STREETS OF RAGE,GEN,1990,Action,Sega,1860000.0,550000.0,110000.0,80000.0,2600000
STREETS OF RAGE 3,GEN,1993,Action,Sega,,,70000.0,,70000
SUPER STREET FIGHTER II,GEN,1993,Fighting,Capcom,,,150000.0,,150000
VIRTUA RACING,GEN,1994,Racing,Sega,,,260000.0,,260000
YUU YUU HAKUSHO MAKYO TOITSUSEN,GEN,1994,Fighting,Sega,,,80000.0,,80000
007 THE WORLD IS NOT ENOUGH,N64,2000,Action,Electronic Arts,1130000.0,380000.0,20000.0,30000.0,1550000
1080 TENEIGHTY SNOWBOARDING,N64,1998,Sports,Nintendo,1250000.0,610000.0,130000.0,50000.0,2029999
64 DE HAKKEN TAMAGOTCHI MINNA DE TAMAGOTCHI WORLD,N64,1997,Misc,Namco Bandai Games,,,220000.0,,220000
A BUGS LIFE,N64,1998,Platform,Activision,490000.0,130000.0,,10000.0,630000
AERO GAUGE,N64,1997,Racing,ASCII Entertainment,60000.0,10000.0,,,70000
AEROFIGHTERS ASSAULT,N64,1997,Action,Video System,150000.0,40000.0,,,190000
AIDYN CHRONICLES THE FIRST MAGE,N64,2001,Role-Playing,THQ,80000.0,20000.0,,,100000
ALL STAR TENNIS 99,N64,1999,Sports,Ubisoft,40000.0,10000.0,,,50000
ALLSTAR BASEBALL 2000,N64,1999,Sports,Acclaim Entertainment,360000.0,30000.0,,,390000
ALLSTAR BASEBALL 2001,N64,2000,Sports,Acclaim Entertainment,220000.0,10000.0,,,230000
ALLSTAR BASEBALL 99,N64,1998,Sports,Acclaim Entertainment,440000.0,40000.0,,,480000
ARMORINES PROJECT SWARM,N64,1999,Shooter,Acclaim Entertainment,210000.0,50000.0,,,260000
ARMY MEN AIR COMBAT,N64,2000,Action,3DO,190000.0,50000.0,,,240000
ARMY MEN SARGES HEROES,N64,1999,Action,3DO,680000.0,120000.0,,10000.0,810000
ARMY MEN SARGES HEROES 2,N64,2000,Shooter,3DO,340000.0,70000.0,,,420000
ASTEROIDS HYPER 64,N64,1999,Shooter,Crave Entertainment,130000.0,30000.0,,,160000
AUTOMOBILI LAMBORGHINI,N64,1997,Racing,Titus,280000.0,170000.0,,10000.0,470000
BANJOKAZOOIE,N64,1998,Platform,Nintendo,1870000.0,1130000.0,550000.0,100000.0,3650000
BANJOTOOIE,N64,2000,Platform,Nintendo,820000.0,360000.0,250000.0,60000.0,1490000
BASS HUNTER 64,N64,1999,Sports,Take-Two Interactive,250000.0,60000.0,,,310000
BASSMASTERS 2000,N64,1999,Sports,THQ,110000.0,30000.0,,,140000
BATMAN BEYOND RETURN OF THE JOKER,N64,2000,Action,Ubisoft,70000.0,20000.0,,,90000
BATTLETANX,N64,1998,Action,3DO,260000.0,60000.0,,,330000
BATTLETANX GLOBAL ASSAULT,N64,1999,Action,3DO,310000.0,70000.0,,,390000
BATTLEZONE RISE OF THE BLACK DOGS,N64,2000,Strategy,Crave Entertainment,60000.0,10000.0,,,70000
BEETLE ADVENTURE RACING,N64,1999,Racing,Electronic Arts,400000.0,200000.0,,20000.0,620000
BIG MOUNTAIN 2000,N64,1998,Sports,Imagineer,20000.0,10000.0,,,30000
BIO FREAKS,N64,1998,Action,GT Interactive,110000.0,30000.0,,,140000
BLAST CORPS,N64,1997,Action,Nintendo,390000.0,90000.0,170000.0,60000.0,710000
BLUES BROTHERS 2000,N64,2000,Platform,Virgin Interactive,40000.0,10000.0,,,50000
BODY HARVEST,N64,1998,Shooter,Gremlin Interactive Ltd,160000.0,40000.0,,,200000
BOMBERMAN 64,N64,1997,Puzzle,Hudson Soft,500000.0,200000.0,310000.0,30000.0,1040000
BOMBERMAN 64 THE SECOND ATTACK,N64,1999,Adventure,Hudson Soft,50000.0,10000.0,110000.0,,170000
BOMBERMAN HERO,N64,1998,Platform,Nintendo,270000.0,60000.0,80000.0,50000.0,470000
BOTTOM OF THE 9TH,N64,1999,Sports,Konami Digital Entertainment,370000.0,,,,370000
BRUNSWICK CIRCUIT PRO BOWLING,N64,1999,Sports,THQ,50000.0,10000.0,,,60000
BUCK BUMBLE,N64,1998,Action,Ubisoft,130000.0,30000.0,,,160000
BUSTAMOVE 99,N64,1998,Puzzle,Acclaim Entertainment,50000.0,10000.0,,,60000
BUSTAMOVE 2 ARCADE EDITION,N64,1997,Puzzle,Acclaim Entertainment,60000.0,20000.0,,,80000
CALIFORNIA SPEED,N64,1999,Misc,Midway Games,130000.0,30000.0,,,160000
CARMAGEDDON 64,N64,1999,Action,Virgin Interactive,10000.0,,,,10000
CASTLEVANIA,N64,1999,Platform,Konami Digital Entertainment,440000.0,100000.0,40000.0,50000.0,640000
CASTLEVANIA LEGACY OF DARKNESS,N64,1999,Platform,Konami Digital Entertainment,60000.0,20000.0,50000.0,,130000
CHAMELEON TWIST,N64,1997,Platform,Sunsoft,90000.0,20000.0,,,110000
CHAMELEON TWIST 2,N64,1998,Platform,Infogrames,40000.0,10000.0,,,50000
CHARLIE BLASTS TERRITORY,N64,1999,Action,Kemco,20000.0,10000.0,,,30000
CHOPPER ATTACK,N64,1997,Action,GT Interactive,90000.0,20000.0,,,110000
CHORO Q 64 2 HACHA MECHA GRAND PRIX RACE,N64,1999,Racing,Takara,,,50000.0,,50000
CHOUKUUKAN NIGHT PRO YAKYUU KING WEEKLY JP SALES,N64,1996,Sports,Imagineer,,,190000.0,,190000
CHOUKUUKAN NIGHT PRO YAKYUU KINGHIGHER JP SALES,N64,1996,Sports,Imagineer,,,220000.0,,220000
CLAYFIGHTER 63 13,N64,1997,Fighting,Interplay,170000.0,40000.0,,,210000
COMMAND  CONQUER,N64,1999,Strategy,Nintendo,220000.0,50000.0,,,270000
CONKERS BAD FUR DAY,N64,2001,Platform,THQ,530000.0,220000.0,,20000.0,770000
CRUISN EXOTICA,N64,2000,Racing,Midway Games,170000.0,40000.0,,,210000
CRUISN USA,N64,1996,Racing,Nintendo,1690000.0,40000.0,,10000.0,1740000
CRUISN WORLD,N64,1998,Racing,Nintendo,590000.0,40000.0,,10000.0,640000
CUSTOM ROBO V2,N64,2000,Fighting,Nintendo,,,340000.0,50000.0,390000
CYBERTIGER,N64,2000,Sports,Electronic Arts,50000.0,10000.0,,,60000
DARK RIFT,N64,1997,Fighting,Vic Tokai,120000.0,30000.0,,,150000
DEADLY ARTS,N64,1998,Fighting,Konami Digital Entertainment,30000.0,10000.0,,,40000
DENSHA DE GO 64,N64,1999,Simulation,Taito,,,50000.0,70000.0,120000
DERBY STALLION 64,N64,2001,Sports,Media Factory,,,150000.0,,150000
DESTRUCTION DERBY 64,N64,1999,Racing,THQ,130000.0,30000.0,,,160000
DIDDY KONG RACING,N64,1997,Racing,Nintendo,2910000.0,990000.0,890000.0,100000.0,4880000
DISNEYS DONALD DUCK GOIN QUACKERS,N64,2000,Platform,Ubisoft,80000.0,20000.0,,,100000
DISNEYS TARZAN,N64,2000,Platform,Activision,160000.0,40000.0,,,200000
DONKEY KONG 64,N64,1999,Platform,Nintendo,3330000.0,790000.0,1090000.0,60000.0,5270000
DOOM 64,N64,1997,Shooter,Midway Games,380000.0,80000.0,,10000.0,470000
DORAEMON 3 NOBI DAI NO MACHI SOS,N64,2000,Platform,Epoch,,,90000.0,60000.0,150000
DOUBUTSU NO MORI,N64,2001,Simulation,Nintendo,,,260000.0,50000.0,310000
DR MARIO 64,N64,2001,Puzzle,Nintendo,340000.0,70000.0,,,420000
DUAL HEROES,N64,1997,Fighting,Hudson Soft,40000.0,10000.0,,,50000
DUKE NUKEM 64,N64,1997,Shooter,GT Interactive,350000.0,80000.0,,10000.0,440000
DUKE NUKEM ZERO HOUR,N64,1999,Shooter,GT Interactive,210000.0,50000.0,,,260000
ECW HARDCORE REVOLUTION,N64,2000,Fighting,Acclaim Entertainment,180000.0,40000.0,,,220000
EARTHWORM JIM 3D,N64,1999,Platform,Interplay,100000.0,20000.0,,,120000
EXCITEBIKE 64,N64,2000,Racing,Nintendo,650000.0,150000.0,190000.0,10000.0,1000000
EXTREMEG,N64,1997,Racing,Acclaim Entertainment,470000.0,110000.0,,10000.0,590000
EXTREMEG XG2,N64,1998,Racing,Acclaim Entertainment,310000.0,70000.0,,,390000
F1 WORLD GRAND PRIX,N64,1998,Racing,Video System,460000.0,960000.0,90000.0,80000.0,1600000
FZERO X,N64,1998,Racing,Nintendo,450000.0,330000.0,290000.0,30000.0,1100000
F1 POLE POSITION 64,N64,1997,Racing,Ubisoft,110000.0,130000.0,,10000.0,250000
FIFA 99,N64,1998,Sports,Electronic Arts,110000.0,390000.0,,30000.0,540000
FIFA SOCCER 64,N64,1997,Sports,Electronic Arts,160000.0,300000.0,,30000.0,490000
FIFA ROAD TO  WORLD CUP 98,N64,1997,Sports,Electronic Arts,150000.0,390000.0,,30000.0,580000
FIGHTER DESTINY 2,N64,1999,Fighting,Imagineer,40000.0,10000.0,,,50000
FIGHTERS DESTINY,N64,1998,Fighting,Ocean,130000.0,30000.0,,,160000
FIGHTING FORCE 64,N64,1999,Action,Crave Entertainment,90000.0,20000.0,,,110000
FLYING DRAGON,N64,1997,Fighting,Natsume,80000.0,20000.0,,,100000
FOX SPORTS COLLEGE HOOPS 99,N64,1998,Sports,Fox Interactive,200000.0,50000.0,,,250000
FUSHIGI NO DUNGEON FURAI NO SHIREN 2  ONI SHUURAI SHIREN SHIRO,N64,2000,Role-Playing,ChunSoft,,,320000.0,50000.0,370000
GT64 CHAMPIONSHIP EDITION,N64,1998,Racing,Ocean,80000.0,20000.0,,,100000
GAUNTLET LEGENDS,N64,1999,Action,Midway Games,430000.0,100000.0,,10000.0,540000
GEX 3 DEEP COVER GECKO,N64,1999,Platform,Crave Entertainment,170000.0,40000.0,,,210000
GEX 64 ENTER THE GECKO,N64,1998,Action,GT Interactive,200000.0,50000.0,,,250000
GLOVER,N64,1998,Platform,Hasbro Interactive,720000.0,170000.0,,10000.0,910000
GOEMONS GREAT ADVENTURE,N64,1998,Platform,Konami Digital Entertainment,60000.0,20000.0,130000.0,100000.0,310000
GOLDEN NUGGET 64,N64,1998,Misc,Electronic Arts,70000.0,20000.0,,,90000
GOLDENEYE 007,N64,1997,Shooter,Nintendo,5800000.0,2009999.0,130000.0,150000.0,8090000
HARVEST MOON 64,N64,1999,Simulation,Pack In Soft,250000.0,60000.0,110000.0,60000.0,480000
HERCULES THE LEGENDARY JOURNEYS,N64,2000,Role-Playing,Titus,40000.0,10000.0,,,50000
HEXEN,N64,1996,Shooter,GT Interactive,150000.0,40000.0,,,190000
HEY YOU PIKACHU,N64,1998,Simulation,Nintendo,830000.0,60000.0,930000.0,,1830000
HOT WHEELS TURBO RACING,N64,1999,Racing,Electronic Arts,250000.0,60000.0,,,310000
HYBRID HEAVEN,N64,1999,Role-Playing,Konami Digital Entertainment,160000.0,40000.0,50000.0,,250000
HYDRO THUNDER,N64,2000,Racing,Midway Games,130000.0,30000.0,,,160000
IGGYS RECKIN BALLS,N64,1998,Racing,Acclaim Entertainment,60000.0,20000.0,,,80000
INDY RACING 2000,N64,2000,Racing,Infogrames,80000.0,20000.0,,,100000
INTERNATIONAL SUPERSTAR SOCCER 98,N64,1998,Sports,Konami Digital Entertainment,60000.0,300000.0,190000.0,30000.0,580000
INTERNATIONAL SUPERSTAR SOCCER 2000 ALL REGION SALES,N64,1999,Sports,Konami Digital Entertainment,10000.0,260000.0,220000.0,20000.0,510000
INTERNATIONAL SUPERSTAR SOCCER 2000 JP WEEKLY SALES,N64,1999,Sports,Konami Digital Entertainment,,,180000.0,,180000
INTERNATIONAL SUPERSTAR SOCCER 64,N64,1997,Sports,Konami Digital Entertainment,90000.0,260000.0,230000.0,20000.0,600000
INTERNATIONAL SUPERSTAR SOCCER 64 WEEKLY JP SALES,N64,1997,Sports,Konami Digital Entertainment,,,50000.0,50000.0,100000
ITOI SHIGESATO NO BASS TSURI NO 1 KETTEIHAN,N64,2000,Sports,Nintendo,,,70000.0,,70000
JEOPARDY,N64,1998,Misc,GameTek,80000.0,20000.0,,,100000
JEREMY MCGRATH SUPERCROSS 2000,N64,1999,Racing,Acclaim Entertainment,230000.0,60000.0,,,290000
JET FORCE GEMINI,N64,1999,Shooter,Nintendo,780000.0,280000.0,70000.0,20000.0,1160000
JIKKYOU JLEAGUE PERFECT STRIKER,N64,1996,Sports,Konami Digital Entertainment,,,190000.0,,190000
JIKKYOU POWERFUL PRO YAKYUU 2000,N64,2000,Sports,Konami Digital Entertainment,,,290000.0,60000.0,350000
JIKKYOU POWERFUL PRO YAKYUU 4,N64,1997,Sports,Konami Digital Entertainment,,,260000.0,50000.0,310000
JIKKYOU POWERFUL PRO YAKYUU 5,N64,1998,Sports,Konami Digital Entertainment,,,270000.0,,270000
JIKKYOU POWERFUL PRO YAKYUU 6,N64,1999,Sports,Konami Digital Entertainment,,,390000.0,30000.0,420000
JIKKYOU POWERFUL PRO YAKYUU BASICHAN 2001,N64,2001,Sports,Konami Digital Entertainment,,,120000.0,40000.0,160000
KEN GRIFFEY JRS SLUGFEST,N64,1999,Sports,Nintendo,230000.0,60000.0,,,290000
KILLER INSTINCT GOLD,N64,1996,Fighting,Nintendo,610000.0,190000.0,,10000.0,820000
KIRBY 64 THE CRYSTAL SHARDS,N64,2000,Platform,Nintendo,630000.0,60000.0,1030000.0,40000.0,1770000
KNIFE EDGE NOSEGUNNER,N64,1998,Shooter,Mitsui,60000.0,20000.0,,,80000
KNOCKOUT KINGS 2000,N64,1999,Fighting,Electronic Arts,630000.0,270000.0,,20000.0,920000
KOBE BRYANT IN NBA COURTSIDE,N64,1998,Sports,Nintendo,1020000.0,130000.0,40000.0,10000.0,1190000
LEGO RACERS,N64,1999,Racing,LEGO Media,510000.0,180000.0,,10000.0,710000
LODE RUNNER 3D,N64,1998,Action,Infogrames,80000.0,20000.0,,,100000
LOONEY TUNES DUCK DODGERS STARRING DAFFY DUCK,N64,2000,Platform,Infogrames,30000.0,10000.0,,,40000
MRC MULTIRACING CHAMPIONSHIP,N64,1997,Racing,Ocean,200000.0,50000.0,,,250000
MACE THE DARK AGE,N64,1997,Fighting,GT Interactive,150000.0,40000.0,,,190000
MADDEN FOOTBALL 64,N64,1997,Sports,Electronic Arts,810000.0,40000.0,,10000.0,860000
MADDEN NFL 2000,N64,1999,Sports,Electronic Arts,580000.0,20000.0,,,610000
MADDEN NFL 2001,N64,2000,Sports,Electronic Arts,600000.0,30000.0,,10000.0,640000
MADDEN NFL 2002,N64,2001,Sports,Electronic Arts,410000.0,20000.0,,,430000
MADDEN NFL 99,N64,1998,Sports,Electronic Arts,840000.0,50000.0,,10000.0,900000
MAGICAL TETRIS CHALLENGE,N64,1997,Puzzle,Activision,130000.0,20000.0,50000.0,,200000
MAHJONG MASTER,N64,1996,Misc,Konami Digital Entertainment,,,90000.0,,90000
MAJOR LEAGUE BASEBALL FEATURING KEN GRIFFEY JR,N64,1998,Sports,Nintendo,750000.0,30000.0,,10000.0,790000
MARIO GOLF,N64,1999,Action,Nintendo,620000.0,180000.0,650000.0,20000.0,1470000
MARIO KART 64,N64,1996,Racing,Nintendo,5550000.0,1940000.0,2230000.0,150000.0,9870000
MARIO PARTY,N64,1998,Misc,Nintendo,1250000.0,530000.0,870000.0,50000.0,2700000
MARIO PARTY 2,N64,1999,Misc,Nintendo,1280000.0,140000.0,1080000.0,10000.0,2500000
MARIO PARTY 3,N64,2000,Misc,Nintendo,720000.0,160000.0,1010000.0,20000.0,1910000
MARIO TENNIS,N64,2000,Sports,Nintendo,780000.0,400000.0,1060000.0,70000.0,2320000
MEGA MAN 64,N64,2000,Action,Capcom,140000.0,30000.0,50000.0,,220000
