,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
38,Defender,2600,1980,Misc,Atari,"$990,000","$50,000",$0,"$10,000","$1,050,000"
39,Defender II,2600,1987,Shooter,Atari,"$420,000","$20,000",$0,$0,"$450,000"
40,Demon Attack,2600,1981,Shooter,Imagic,"$1,990,000","$120,000",$0,"$20,000","$2,130,000"
41,Desert Falcon,2600,1987,Shooter,Atari,"$240,000","$10,000",$0,$0,"$260,000"
42,Dig Dug,2600,1982,Puzzle,Atari,"$1,520,000","$100,000",$0,"$20,000","$1,640,000"
43,Dolphin,2600,1983,Action,Activision,"$270,000","$20,000",$0,$0,"$290,000"
44,Donkey Kong,2600,1981,Platform,Coleco,"$1,360,000","$80,000",$0,"$20,000","$1,460,000"
45,Donkey Kong Junior,2600,1981,Platform,Atari,"$900,000","$50,000",$0,"$10,000","$970,000"
46,Double Dragon,2600,1989,Action,Activision,"$450,000","$20,000",$0,"$10,000","$470,000"
47,Dragonfire,2600,1981,Action,Imagic,"$350,000","$20,000",$0,$0,"$370,000"
49,E.T.: The Extra Terrestrial,2600,1981,Action,Atari,"$1,840,000","$110,000",$0,"$20,000","$1,970,000"
50,Enduro,2600,1982,Misc,Quelle,"$810,000","$50,000",$0,"$10,000","$870,000"
51,Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,"$320,000","$20,000",$0,$0,"$340,000"
52,Fast Food,2600,1981,Action,Unknown,"$270,000","$20,000",$0,$0,"$290,000"
53,Fireball,2600,1981,Action,Starpath Corp.,"$300,000","$20,000",$0,$0,"$330,000"
56,Frankenstein's Monster,2600,1982,Action,Data Age,"$300,000","$20,000",$0,$0,"$320,000"
57,Freeway,2600,1980,Action,Activision,"$320,000","$20,000",$0,$0,"$340,000"
58,Frogger,2600,1981,Action,Parker Bros.,"$2,060,000","$120,000",$0,"$20,000","$2,200,000"
59,Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.,"$310,000","$20,000",$0,$0,"$330,000"
60,Frogs And Flies,2600,1981,Action,Mattel Interactive,"$330,000","$20,000",$0,$0,"$360,000"
61,Front Line,2600,1981,Action,Taito,"$220,000","$10,000",$0,$0,"$240,000"
62,Frostbite,2600,1983,Action,Activision,"$320,000","$20,000",$0,$0,"$340,000"
63,Galaxian,2600,1982,Shooter,Atari,"$720,000","$50,000",$0,"$10,000","$770,000"
64,Gauntlet,2600,1982,Action,Answer Software,"$460,000","$30,000",$0,"$10,000","$500,000"
65,Ghostbusters,2600,1985,Puzzle,Activision,"$420,000","$30,000",$0,$0,"$450,000"
67,Grand Prix,2600,1981,Racing,Activision,"$450,000","$30,000",$0,$0,"$480,000"
68,Gravitar,2600,1982,Action,Atari,"$350,000","$20,000",$0,$0,"$380,000"
69,Gremlins,2600,1983,Action,Atari,"$430,000","$30,000",$0,$0,"$460,000"
70,Halloween,2600,1982,Action,Wizard Video Games,"$580,000","$30,000",$0,"$10,000","$620,000"
73,Ice Hockey,2600,1980,Sports,Activision,"$460,000","$30,000",$0,"$10,000","$490,000"
75,International Soccer,2600,1981,Sports,Mattel Interactive,"$180,000","$10,000",$0,$0,"$190,000"
76,Jawbreaker,2600,1981,Action,Tigervision,"$420,000","$30,000",$0,$0,"$450,000"
77,Joust,2600,1982,Platform,Atari,"$1,010,000","$60,000",$0,"$10,000","$1,080,000"
78,Jr. Pac-Man,2600,1983,Puzzle,Atari,"$720,000","$50,000",$0,"$10,000","$780,000"
79,Jungle Hunt,2600,1982,Platform,Atari,"$1,030,000","$60,000",$0,"$10,000","$1,100,000"
80,Kaboom!,2600,1980,Misc,Activision,"$1,070,000","$70,000",$0,"$10,000","$1,150,000"
81,Kangaroo,2600,1982,Platform,Atari,"$670,000","$40,000",$0,"$10,000","$720,000"
83,Keystone Kapers,2600,1982,Action,Activision,"$620,000","$40,000",$0,"$10,000","$660,000"
84,King Kong,2600,1981,Action,Tigervision,"$650,000","$40,000",$0,"$10,000","$690,000"
85,Klax,2600,1989,Puzzle,Atari,"$140,000","$10,000",$0,$0,"$150,000"
86,Krull,2600,1982,Action,Atari,"$130,000","$10,000",$0,$0,"$140,000"
87,Kung-Fu Master,2600,1987,Action,Activision,"$600,000","$40,000",$0,"$10,000","$650,000"
88,Laser Blast,2600,1981,Action,Activision,"$370,000","$20,000",$0,$0,"$390,000"
89,Mario Bros.,2600,1982,Platform,Atari,"$1,480,000","$90,000",$0,"$20,000","$1,590,000"
91,Megamania,2600,1981,Shooter,Activision,"$1,030,000","$60,000",$0,"$10,000","$1,100,000"
92,Midnight Magic,2600,1983,Action,Atari,"$470,000","$30,000",$0,"$10,000","$500,000"
93,Millipede,2600,1983,Shooter,Atari,"$450,000","$30,000",$0,"$10,000","$480,000"
94,Missile Command,2600,1980,Shooter,Atari,"$2,560,000","$170,000",$0,"$30,000","$2,760,000"
95,Moon Patrol,2600,1982,Shooter,Atari,"$1,050,000","$60,000",$0,"$10,000","$1,120,000"
96,Mountain King,2600,1982,Action,CBS Electronics,"$290,000","$20,000",$0,$0,"$310,000"
97,Mouse Trap,2600,1981,Action,Coleco,"$380,000","$20,000",$0,$0,"$400,000"
98,Mr. Do!,2600,1982,Action,Coleco,"$260,000","$20,000",$0,$0,"$270,000"
99,Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,"$150,000","$10,000",$0,$0,"$170,000"
100,Ms. Pac-Man,2600,1981,Puzzle,Atari,"$1,540,000","$100,000",$0,"$20,000","$1,650,000"
101,Pac-Man,2600,1982,Puzzle,Atari,"$7,280,000","$450,000",$0,"$80,000","$7,810,000"
102,Pengo,2600,1983,Adventure,Atari,"$380,000","$20,000",$0,$0,"$400,000"
103,Phoenix,2600,1981,Simulation,Atari,"$420,000","$20,000",$0,$0,"$450,000"
104,Pitfall II: Lost Caverns,2600,1983,Platform,Activision,"$1,220,000","$70,000",$0,"$20,000","$1,310,000"
105,Pitfall!,2600,1981,Platform,Activision,"$4,210,000","$240,000",$0,"$50,000","$4,500,000"
106,Polaris,2600,1982,Action,Tigervision,"$260,000","$20,000",$0,$0,"$280,000"
107,Pole Position,2600,1982,Racing,Atari,"$1,100,000","$70,000",$0,"$10,000","$1,180,000"
108,Popeye,2600,1982,Platform,Parker Bros.,"$500,000","$30,000",$0,"$10,000","$540,000"
109,Porky's,2600,1982,Action,20th Century Fox Video Games,"$230,000","$10,000",$0,$0,"$250,000"
110,Pressure Cooker,2600,1982,Action,Activision,"$140,000","$10,000",$0,$0,"$150,000"
111,Q*bert,2600,1982,Puzzle,Parker Bros.,"$550,000","$30,000",$0,"$10,000","$580,000"
112,Raiders of the Lost Ark,2600,1981,Action,Atari,"$460,000","$30,000",$0,"$10,000","$500,000"
113,Rampage,2600,1988,Action,Activision,"$220,000","$10,000",$0,$0,"$240,000"
114,Reactor,2600,1981,Action,Parker Bros.,"$210,000","$10,000",$0,$0,"$220,000"
115,RealSports Baseball,2600,1981,Sports,Atari,"$200,000","$10,000",$0,$0,"$210,000"
116,RealSports Boxing,2600,1986,Sports,Atari,"$280,000","$20,000",$0,$0,"$290,000"
117,RealSports Football,2600,1981,Sports,Atari,"$240,000","$10,000",$0,$0,"$260,000"
118,RealSports Tennis,2600,1982,Sports,Atari,"$460,000","$30,000",$0,"$10,000","$500,000"
119,RealSports Volleyball,2600,1981,Sports,Atari,"$120,000","$10,000",$0,$0,"$130,000"
120,River Raid,2600,1981,Shooter,Activision,"$1,490,000","$90,000",$0,"$20,000","$1,600,000"
121,River Raid II,2600,1988,Shooter,Activision,"$470,000","$30,000",$0,"$10,000","$510,000"
123,Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,"$550,000","$30,000",$0,"$10,000","$590,000"
124,Solaris,2600,1986,Shooter,Atari,"$350,000","$20,000",$0,$0,"$370,000"
126,Spider-Man,2600,1981,Action,Parker Bros.,"$870,000","$50,000",$0,"$10,000","$930,000"
127,Super Baseball,2600,1987,Sports,Atari,"$70,000",$0,$0,$0,"$70,000"
129,Super Football,2600,1987,Sports,Atari,"$70,000",$0,$0,$0,"$80,000"
130,The Activision Decathlon,2600,1982,Sports,Activision,"$520,000","$30,000",$0,"$10,000","$550,000"
131,X-Man,2600,1982,Action,Universal Gamex,"$580,000","$40,000",$0,"$10,000","$630,000"
132,Yars' Revenge,2600,1982,Shooter,Atari,"$730,000","$40,000",$0,"$10,000","$780,000"
133,Beyond Oasis,GEN,1993,Role-Playing,Sega,$0,$0,"$50,000",$0,"$50,000"
134,Castlevania Bloodlines,GEN,1994,Platform,Konami Digital Entertainment,$0,$0,"$40,000",$0,"$40,000"
135,Disney's The Lion King,GEN,1994,Platform,Virgin Interactive,"$970,000","$370,000","$30,000","$50,000","$1,410,000"
136,Dragon Slayer: The Legend of Heroes,GEN,1994,Role-Playing,Sega,$0,$0,"$80,000",$0,"$80,000"
137,Dynamite Headdy,GEN,1993,Platform,Sega,$0,$0,"$50,000",$0,"$50,000"
138,Ecco the Dolphin,GEN,1992,Adventure,Sega,$0,$0,"$120,000",$0,"$120,000"
139,Ecco: The Tides of Time,GEN,1993,Adventure,Sega,$0,$0,"$70,000",$0,"$70,000"
140,Gunstar Heroes,GEN,1992,Shooter,Sega,$0,$0,"$130,000",$0,"$130,000"
141,J-League Pro Striker 2,GEN,1994,Sports,Sega,$0,$0,"$40,000",$0,"$40,000"
142,"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Role-Playing,Game Arts,$0,$0,"$140,000",$0,"$140,000"
143,Mortal Kombat,GEN,1992,Fighting,Arena Entertainment,"$1,950,000","$630,000",$0,"$90,000","$2,670,000"
144,Mortal Kombat 3,GEN,1994,Fighting,Acclaim Entertainment,"$1,030,000","$270,000",$0,"$40,000","$1,340,000"
145,NBA Jam,GEN,1992,Sports,Arena Entertainment,"$1,750,000","$250,000",$0,"$50,000","$2,050,000"
146,NBA Jam Tournament Edition,GEN,1994,Sports,Acclaim Entertainment,"$950,000","$140,000",$0,"$30,000","$1,110,000"
147,Puzzle & Action: Tant-R,GEN,1994,Misc,Sega,$0,$0,"$30,000",$0,"$30,000"
148,Shining Force II,GEN,1993,Strategy,Sega,$0,$0,"$190,000",$0,"$190,000"
149,Sonic & Knuckles,GEN,1994,Platform,Sega,"$1,240,000","$430,000","$30,000","$120,000","$1,820,000"
150,Sonic the Hedgehog,GEN,1991,Platform,Sega,"$3,030,000","$910,000","$260,000","$130,000","$4,340,000"
151,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,"$4,470,000","$1,200,000","$160,000","$190,000","$6,030,000"
152,Sonic the Hedgehog 3,GEN,1994,Platform,Sega,"$1,020,000","$470,000","$200,000","$70,000","$1,760,000"
153,Street Fighter II': Special Champion Edition,GEN,1992,Fighting,Sega,"$1,000,000","$300,000","$310,000","$40,000","$1,660,000"
154,Street Fighter II': Special Champion Edition (JP weekly sales),GEN,1993,Action,Capcom,$0,$0,"$70,000",$0,"$70,000"
155,Streets of Rage,GEN,1990,Action,Sega,"$1,860,000","$550,000","$110,000","$80,000","$2,600,000"
156,Streets of Rage 3,GEN,1993,Action,Sega,$0,$0,"$70,000",$0,"$70,000"
157,Super Street Fighter II,GEN,1993,Fighting,Capcom,$0,$0,"$150,000",$0,"$150,000"
158,Virtua Racing,GEN,1994,Racing,Sega,$0,$0,"$260,000",$0,"$260,000"
159,Yuu Yuu Hakusho: Makyo Toitsusen,GEN,1994,Fighting,Sega,$0,$0,"$80,000",$0,"$80,000"
160,007: The World is not Enough,N64,2000,Action,Electronic Arts,"$1,130,000","$380,000","$20,000","$30,000","$1,550,000"
161,1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,"$1,250,000","$610,000","$130,000","$50,000","$2,030,000"
162,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,Misc,Namco Bandai Games,$0,$0,"$220,000",$0,"$220,000"
163,A Bug's Life,N64,1998,Platform,Activision,"$490,000","$130,000",$0,"$10,000","$630,000"
164,Aero Gauge,N64,1997,Racing,ASCII Entertainment,"$60,000","$10,000",$0,$0,"$70,000"
165,AeroFighters Assault,N64,1997,Action,Video System,"$150,000","$40,000",$0,$0,"$190,000"
166,Aidyn Chronicles: The First Mage,N64,2001,Role-Playing,THQ,"$80,000","$20,000",$0,$0,"$100,000"
167,All Star Tennis 99,N64,1999,Sports,Ubisoft,"$40,000","$10,000",$0,$0,"$50,000"
168,All-Star Baseball 2000,N64,1999,Sports,Acclaim Entertainment,"$360,000","$30,000",$0,$0,"$390,000"
169,All-Star Baseball 2001,N64,2000,Sports,Acclaim Entertainment,"$220,000","$10,000",$0,$0,"$230,000"
170,All-Star Baseball 99,N64,1998,Sports,Acclaim Entertainment,"$440,000","$40,000",$0,$0,"$480,000"
171,Armorines: Project S.W.A.R.M.,N64,1999,Shooter,Acclaim Entertainment,"$210,000","$50,000",$0,$0,"$260,000"
172,Army Men: Air Combat,N64,2000,Action,3DO,"$190,000","$50,000",$0,$0,"$240,000"
173,Army Men: Sarge's Heroes,N64,1999,Action,3DO,"$680,000","$120,000",$0,"$10,000","$810,000"
174,Army Men: Sarge's Heroes 2,N64,2000,Shooter,3DO,"$340,000","$70,000",$0,$0,"$420,000"
175,Asteroids Hyper 64,N64,1999,Shooter,Crave Entertainment,"$130,000","$30,000",$0,$0,"$160,000"
176,Automobili Lamborghini,N64,1997,Racing,Titus,"$280,000","$170,000",$0,"$10,000","$470,000"
177,Banjo-Kazooie,N64,1998,Platform,Nintendo,"$1,870,000","$1,130,000","$550,000","$100,000","$3,650,000"
178,Banjo-Tooie,N64,2000,Platform,Nintendo,"$820,000","$360,000","$250,000","$60,000","$1,490,000"
179,Bass Hunter 64,N64,1999,Sports,Take-Two Interactive,"$250,000","$60,000",$0,$0,"$310,000"
180,Bassmasters 2000,N64,1999,Sports,THQ,"$110,000","$30,000",$0,$0,"$140,000"
181,Batman Beyond: Return of the Joker,N64,2000,Action,Ubisoft,"$70,000","$20,000",$0,$0,"$90,000"
182,BattleTanx,N64,1998,Action,3DO,"$260,000","$60,000",$0,$0,"$330,000"
183,BattleTanx: Global Assault,N64,1999,Action,3DO,"$310,000","$70,000",$0,$0,"$390,000"
184,Battlezone: Rise of the Black Dogs,N64,2000,Strategy,Crave Entertainment,"$60,000","$10,000",$0,$0,"$70,000"
185,Beetle Adventure Racing!,N64,1999,Racing,Electronic Arts,"$400,000","$200,000",$0,"$20,000","$620,000"
186,Big Mountain 2000,N64,1998,Sports,Imagineer,"$20,000","$10,000",$0,$0,"$30,000"
187,Bio FREAKS,N64,1998,Action,GT Interactive,"$110,000","$30,000",$0,$0,"$140,000"
188,Blast Corps,N64,1997,Action,Nintendo,"$390,000","$90,000","$170,000","$60,000","$710,000"
189,Blues Brothers 2000,N64,2000,Platform,Virgin Interactive,"$40,000","$10,000",$0,$0,"$50,000"
190,Body Harvest,N64,1998,Shooter,Gremlin Interactive Ltd,"$160,000","$40,000",$0,$0,"$200,000"
191,Bomberman 64,N64,1997,Puzzle,Hudson Soft,"$500,000","$200,000","$310,000","$30,000","$1,040,000"
192,Bomberman 64: The Second Attack!,N64,1999,Adventure,Hudson Soft,"$50,000","$10,000","$110,000",$0,"$170,000"
193,Bomberman Hero,N64,1998,Platform,Nintendo,"$270,000","$60,000","$80,000","$50,000","$470,000"
194,Bottom of the 9th,N64,1999,Sports,Konami Digital Entertainment,"$370,000",$0,$0,$0,"$370,000"
195,Brunswick Circuit Pro Bowling,N64,1999,Sports,THQ,"$50,000","$10,000",$0,$0,"$60,000"
196,Buck Bumble,N64,1998,Action,Ubisoft,"$130,000","$30,000",$0,$0,"$160,000"
197,Bust-A-Move '99,N64,1998,Puzzle,Acclaim Entertainment,"$50,000","$10,000",$0,$0,"$60,000"
198,Bust-A-Move 2 Arcade Edition,N64,1997,Puzzle,Acclaim Entertainment,"$60,000","$20,000",$0,$0,"$80,000"
199,California Speed,N64,1999,Misc,Midway Games,"$130,000","$30,000",$0,$0,"$160,000"
200,Carmageddon 64,N64,1999,Action,Virgin Interactive,"$10,000",$0,$0,$0,"$10,000"
201,Castlevania,N64,1999,Platform,Konami Digital Entertainment,"$440,000","$100,000","$40,000","$50,000","$640,000"
202,Castlevania: Legacy of Darkness,N64,1999,Platform,Konami Digital Entertainment,"$60,000","$20,000","$50,000",$0,"$130,000"
203,Chameleon Twist,N64,1997,Platform,Sunsoft,"$90,000","$20,000",$0,$0,"$110,000"
204,Chameleon Twist 2,N64,1998,Platform,Infogrames,"$40,000","$10,000",$0,$0,"$50,000"
205,Charlie Blasts Territory,N64,1999,Action,Kemco,"$20,000","$10,000",$0,$0,"$30,000"
206,Chopper Attack,N64,1997,Action,GT Interactive,"$90,000","$20,000",$0,$0,"$110,000"
207,Choro Q 64 2: Hacha Mecha Grand Prix Race,N64,1999,Racing,Takara,$0,$0,"$50,000",$0,"$50,000"
208,Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996,Sports,Imagineer,$0,$0,"$190,000",$0,"$190,000"
209,Chou-Kuukan Night Pro Yakyuu King(higher JP sales),N64,1996,Sports,Imagineer,$0,$0,"$220,000",$0,"$220,000"
210,ClayFighter 63 1/3,N64,1997,Fighting,Interplay,"$170,000","$40,000",$0,$0,"$210,000"
211,Command & Conquer,N64,1999,Strategy,Nintendo,"$220,000","$50,000",$0,$0,"$270,000"
212,Conker's Bad Fur Day,N64,2001,Platform,THQ,"$530,000","$220,000",$0,"$20,000","$770,000"
213,Cruis'n Exotica,N64,2000,Racing,Midway Games,"$170,000","$40,000",$0,$0,"$210,000"
214,Cruis'n USA,N64,1996,Racing,Nintendo,"$1,690,000","$40,000",$0,"$10,000","$1,740,000"
215,Cruis'n World,N64,1998,Racing,Nintendo,"$590,000","$40,000",$0,"$10,000","$640,000"
217,Custom Robo V2,N64,2000,Fighting,Nintendo,$0,$0,"$340,000","$50,000","$390,000"
218,CyberTiger,N64,2000,Sports,Electronic Arts,"$50,000","$10,000",$0,$0,"$60,000"
219,Dark Rift,N64,1997,Fighting,Vic Tokai,"$120,000","$30,000",$0,$0,"$150,000"
220,Deadly Arts,N64,1998,Fighting,Konami Digital Entertainment,"$30,000","$10,000",$0,$0,"$40,000"
221,Densha De Go! 64,N64,1999,Simulation,Taito,$0,$0,"$50,000","$70,000","$120,000"
222,Derby Stallion 64,N64,2001,Sports,Media Factory,$0,$0,"$150,000",$0,"$150,000"
223,Destruction Derby 64,N64,1999,Racing,THQ,"$130,000","$30,000",$0,$0,"$160,000"
224,Diddy Kong Racing,N64,1997,Racing,Nintendo,"$2,910,000","$990,000","$890,000","$100,000","$4,880,000"
225,Disney's Donald Duck: Goin' Quackers,N64,2000,Platform,Ubisoft,"$80,000","$20,000",$0,$0,"$100,000"
226,Disney's Tarzan,N64,2000,Platform,Activision,"$160,000","$40,000",$0,$0,"$200,000"
227,Donkey Kong 64,N64,1999,Platform,Nintendo,"$3,330,000","$790,000","$1,090,000","$60,000","$5,270,000"
228,Doom 64,N64,1997,Shooter,Midway Games,"$380,000","$80,000",$0,"$10,000","$470,000"
229,Doraemon 3: Nobi Dai no Machi SOS!,N64,2000,Platform,Epoch,$0,$0,"$90,000","$60,000","$150,000"
230,Doubutsu no Mori,N64,2001,Simulation,Nintendo,$0,$0,"$260,000","$50,000","$310,000"
231,Dr. Mario 64,N64,2001,Puzzle,Nintendo,"$340,000","$70,000",$0,$0,"$420,000"
232,Dual Heroes,N64,1997,Fighting,Hudson Soft,"$40,000","$10,000",$0,$0,"$50,000"
233,Duke Nukem 64,N64,1997,Shooter,GT Interactive,"$350,000","$80,000",$0,"$10,000","$440,000"
234,Duke Nukem: Zero Hour,N64,1999,Shooter,GT Interactive,"$210,000","$50,000",$0,$0,"$260,000"
235,ECW Hardcore Revolution,N64,2000,Fighting,Acclaim Entertainment,"$180,000","$40,000",$0,$0,"$220,000"
236,Earthworm Jim 3D,N64,1999,Platform,Interplay,"$100,000","$20,000",$0,$0,"$120,000"
237,Excitebike 64,N64,2000,Racing,Nintendo,"$650,000","$150,000","$190,000","$10,000","$1,000,000"
238,Extreme-G,N64,1997,Racing,Acclaim Entertainment,"$470,000","$110,000",$0,"$10,000","$590,000"
239,Extreme-G: XG2,N64,1998,Racing,Acclaim Entertainment,"$310,000","$70,000",$0,$0,"$390,000"
240,F-1 World Grand Prix,N64,1998,Racing,Video System,"$460,000","$960,000","$90,000","$80,000","$1,600,000"
241,F-Zero X,N64,1998,Racing,Nintendo,"$450,000","$330,000","$290,000","$30,000","$1,100,000"
242,F1 Pole Position 64,N64,1997,Racing,Ubisoft,"$110,000","$130,000",$0,"$10,000","$250,000"
243,FIFA 99,N64,1998,Sports,Electronic Arts,"$110,000","$390,000",$0,"$30,000","$540,000"
244,FIFA Soccer 64,N64,1997,Sports,Electronic Arts,"$160,000","$300,000",$0,"$30,000","$490,000"
245,FIFA: Road to  World Cup 98,N64,1997,Sports,Electronic Arts,"$150,000","$390,000",$0,"$30,000","$580,000"
247,Fighter Destiny 2,N64,1999,Fighting,Imagineer,"$40,000","$10,000",$0,$0,"$50,000"
248,Fighters Destiny,N64,1998,Fighting,Ocean,"$130,000","$30,000",$0,$0,"$160,000"
249,Fighting Force 64,N64,1999,Action,Crave Entertainment,"$90,000","$20,000",$0,$0,"$110,000"
250,Flying Dragon,N64,1997,Fighting,Natsume,"$80,000","$20,000",$0,$0,"$100,000"
251,Fox Sports College Hoops '99,N64,1998,Sports,Fox Interactive,"$200,000","$50,000",$0,$0,"$250,000"
252,Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,N64,2000,Role-Playing,ChunSoft,$0,$0,"$320,000","$50,000","$370,000"
253,GT64 Championship Edition,N64,1998,Racing,Ocean,"$80,000","$20,000",$0,$0,"$100,000"
254,Gauntlet Legends,N64,1999,Action,Midway Games,"$430,000","$100,000",$0,"$10,000","$540,000"
255,Gex 3: Deep Cover Gecko,N64,1999,Platform,Crave Entertainment,"$170,000","$40,000",$0,$0,"$210,000"
256,Gex 64: Enter the Gecko,N64,1998,Action,GT Interactive,"$200,000","$50,000",$0,$0,"$250,000"
257,Glover,N64,1998,Platform,Hasbro Interactive,"$720,000","$170,000",$0,"$10,000","$910,000"
258,Goemon's Great Adventure,N64,1998,Platform,Konami Digital Entertainment,"$60,000","$20,000","$130,000","$100,000","$310,000"
259,Golden Nugget 64,N64,1998,Misc,Electronic Arts,"$70,000","$20,000",$0,$0,"$90,000"
260,GoldenEye 007,N64,1997,Shooter,Nintendo,"$5,800,000","$2,010,000","$130,000","$150,000","$8,090,000"
261,Harvest Moon 64,N64,1999,Simulation,Pack In Soft,"$250,000","$60,000","$110,000","$60,000","$480,000"
262,Hercules: The Legendary Journeys,N64,2000,Role-Playing,Titus,"$40,000","$10,000",$0,$0,"$50,000"
263,Hexen,N64,1996,Shooter,GT Interactive,"$150,000","$40,000",$0,$0,"$190,000"
264,"Hey You, Pikachu!",N64,1998,Simulation,Nintendo,"$830,000","$60,000","$930,000",$0,"$1,830,000"
265,Hot Wheels Turbo Racing,N64,1999,Racing,Electronic Arts,"$250,000","$60,000",$0,$0,"$310,000"
266,Hybrid Heaven,N64,1999,Role-Playing,Konami Digital Entertainment,"$160,000","$40,000","$50,000",$0,"$250,000"
267,Hydro Thunder,N64,2000,Racing,Midway Games,"$130,000","$30,000",$0,$0,"$160,000"
268,Iggy's Reckin' Balls,N64,1998,Racing,Acclaim Entertainment,"$60,000","$20,000",$0,$0,"$80,000"
269,Indy Racing 2000,N64,2000,Racing,Infogrames,"$80,000","$20,000",$0,$0,"$100,000"
270,International Superstar Soccer '98,N64,1998,Sports,Konami Digital Entertainment,"$60,000","$300,000","$190,000","$30,000","$580,000"
271,International Superstar Soccer 2000 (All region sales),N64,1999,Sports,Konami Digital Entertainment,"$10,000","$260,000","$220,000","$20,000","$510,000"
272,International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,Konami Digital Entertainment,$0,$0,"$180,000",$0,"$180,000"
273,International Superstar Soccer 64,N64,1997,Sports,Konami Digital Entertainment,"$90,000","$260,000","$230,000","$20,000","$600,000"
274,International Superstar Soccer 64 (weekly JP sales),N64,1997,Sports,Konami Digital Entertainment,$0,$0,"$50,000","$50,000","$100,000"
275,Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,N64,2000,Sports,Nintendo,$0,$0,"$70,000",$0,"$70,000"
