PS1 Game Title,PS1 Game Price
Circuit Breakers,13.07
City of Lost Children,129.75
Civilization II,20.38
Cleopatra's Fortune,8.11
Clock Tower,161.64
Clock Tower II: The Struggle Within,292.28
Codename: Tenka,18.16
Colin McRae Rally,24.19
Colin McRae Rally 2.0,54.54
College Slam,9.61
Colony Wars,14.38
Colony Wars III: Red Sun,12.34
Colony Wars: Vengeance,9.37
Command & Conquer,16.40
Command & Conquer: Red Alert,21.21
Command & Conquer: Red Alert: Retaliation,15.59
Contender,2.24
Contender 2,5.33
Contra: Legacy of War,17.69
Cool Boarders,11.63
Cool Boarders 2,2.27
Cool Boarders 2 [Greatest Hits],3.53
Cool Boarders 2001,11.40
Cool Boarders 3,3.27
Cool Boarders 3 [Greatest Hits],2.17
Cool Boarders 4,5.30
Cool Boarders 4 [Greatest Hits],4.66
Countdown Vampires,102.43
Courier Crisis,13.22
Covert Ops: Nuclear Dawn,9.80
Crash Bandicoot,52.15
Crash Bandicoot 2: Cortex Strikes Back,14.49
Crash Bandicoot 2: Cortex Strikes Back [Greatest Hits],14.85
Crash Bandicoot 3: Warped,24.44
Crash Bandicoot 3: Warped [Collector's Edition],15.31
Crash Bandicoot 3: Warped [Greatest Hits],14.03
Crash Bandicoot [Collectors Edition],65.80
Crash Bandicoot [Greatest Hits],24.41
Crash Bash,25.81
Crash Bash [Collector's Edition],13.75
Crash Bash [Greatest Hits],11.73
Crash Team Racing,6.81
Crash Team Racing [Collector's Edition],16.55
Crash Team Racing [Greatest Hits],19.85
Creatures,10.22
Creatures: Raised in Space,10.47
Crime Killer,11.03
Critical Depth,13.09
Criticom,9.52
Croc 2,19.41
Croc: Legend of the Gobbos,16.51
Croc: Legend of the Gobbos [Greatest Hits],6.23
Crossroad Crisis,4.47
Crow: City of Angels,40.34
Crusader: No Remorse,31.57
Crusaders of Might and Magic,10.50
Crypt Killer,22.23
Cubix Robots for Everyone,4.05
Cyber Sled,34.42
CyberSpeed,14.02
CyberTiger,4.22
Cyberia,10.64
Cyberia [Longbox],19.68
D: The Video Game,61.54
D: The Video Game [Longbox],102.56
Dance Dance Revolution,7.96
Dance Dance Revolution: Disney Mix,22.10
Dance Dance Revolution: Konamix,6.20
Dance Dance Revolution: Konamix [Greatest Hits],8.48
Danger Girl,29.15
Dare Devil Derby 3D,7.49
Darklight Conflict,9.14
Darkstalkers 3: Jedah's Damnation,76.72
Darkstalkers: The Night Warriors,128.82
Darkstalkers: The Night Warriors [Longbox],86.19
Darkstone: Evil Reigns,3.75
Dave Mirra Freestyle BMX,5.92
Dave Mirra Freestyle BMX [Greatest Hits],4.95
Dave Mirra Freestyle BMX: Maximum Remix,7.01
David Beckham Soccer,9.31
Dead Ball Zone,7.89
Dead in the Water,12.83
Dead or Alive,33.27
Deathtrap Dungeon,7.21
Deception III: Dark Delusion,52.78
Defcon 5: Peace Has a Price,15.52
Delta Force: Urban Warfare,10.71
Demolition Racer,10.91
Descent,18.04
Descent Maximum,14.74
Destrega,23.96
Destruction Derby,21.82
Destruction Derby 2,7.46
Destruction Derby 2 [Greatest Hits],9.85
Destruction Derby Raw,13.14
Destruction Derby [Greatest Hits],5.43
Destruction Derby [Longbox],10.78
Detective Barbie: The Mystery Cruise,7.43
Devil Dice,14.24
Dexter's Laboratory: Mandark's Lab,11.50
Diablo,63.53
Die Hard Trilogy,3.21
Die Hard Trilogy 2: Viva Las Vegas,13.98
Die Hard Trilogy [Greatest Hits],8.16
Digimon Rumble Arena,18.15
Digimon Rumble Arena [Greatest Hits],19.28
Digimon World,65.25
Digimon World 2,61.22
Digimon World 3,53.49
Digimon World 3 [Greatest Hits],42.97
Digimon World [Greatest Hits],26.57
Digimon: Digital Card Battle,63.43
Dino Crisis,39.66
Dino Crisis 2,74.38
Dino Crisis [Greatest Hits],38.88
Dirt Jockey: Heavy Equipment Operator,7.12
Discworld,63.51
Discworld II: Mortality Bytes!,52.99
Disney Action Games [Collector's Edition],39.99
Disney Collector's Edition,0.00
Disney's Dinosaur,4.63
Disruptor,27.83
Divide: Enemies Within,26.18
Donald Duck: Goin' Quackers,17.13
Doom [Greatest Hits],32.04
Doom [Jewel Case],279.40
Doom [Longbox],57.21
Dora the Explorer: Barnyard Buddies,6.28
Dracula 2: The Last Sanctuary,10.70
Dracula: The Resurrection,21.29
Dragon Ball GT: Final Bout,31.82
Dragon Ball GT: Final Bout [Reprint],14.89
Dragon Ball Z: Ultimate Battle 22,6.25
Dragon Ball Z: Ultimate Battle 22 [Greatest Hits],17.19
Dragon Seeds,52.32
Dragon Tales: Dragon Seek,8.18
Dragon Valor,47.17
Dragon Warrior VII,53.98
Dragonheart: Fire & Steel,32.36
Driver / Driver 2 [Twin Pack],22.83
Driver 2,8.90
Driver 2 [Greatest Hits],9.78
Driver: You Are the Wheelman,11.43
Driver: You Are the Wheelman [Greatest Hits],4.59
Ducati World,12.88
Duke Nukem: Land of the Babes,24.90
Duke Nukem: Time to Kill,10.94
Duke Nukem: Time to Kill [Greatest Hits],9.23
Duke Nukem: Total Meltdown,10.83
Dukes of Hazzard II: Daisy Dukes It Out,11.14
Dukes of Hazzard: Racing for Home,4.27
Dukes of Hazzard: Racing for Home [Greatest Hits],9.23
Dune 2000,25.62
Dynasty Warriors,22.77
E.T.: The Extra-Terrestrial: Interplanetary Mission,9.25
EA Racing Pack Collector's Edition,25.40
ECW Anarchy Rulz,41.29
ECW Hardcore Revolution,10.82
ESPN Extreme Games,10.60
ESPN Extreme Games [Longbox],17.85
ESPN MLS GameNight,24.25
ESPN X-Games Pro Boarder,6.70
Eagle One: Harrier Attack,11.57
Easter Bunny's Big Day,21.72
Echo Night,127.33
Eggs of Steel,40.20
Ehrgeiz: God Bless the Ring,55.15
Eidos Collector's Edition,38.83
Einhander,142.13
Elemental Gearbolt,157.21
Elemental Gearbolt [Assassin Case],0.00
Eliminator,7.64
Emperor's New Groove,9.35
Epidemic,20.00
Equestrian Showcase,5.23
Eternal Eyes,10.56
Evil Dead: Hail to the King,26.43
Evil Zone,27.09
Excalibur 2555 A.D.,15.17
Expendable,22.50
Extreme Go-Kart Racing,10.50
Extreme Pinball,8.03
Extreme Pinball [Longbox],15.57
F1 2000,3.42
F1 Championship Season 2000,3.05
F1 Racing Championship,19.28
F1 World Grand Prix,6.88
F1 World Grand Prix 2000,9.40
F1 World Grand Prix: Season 1999,9.41
FIFA 2000,9.81
FIFA 2001,8.21
FIFA 98: Road to World Cup,19.27
FIFA 99,9.75
FIFA Soccer 2002,7.67
FIFA Soccer 2003,8.76
FIFA Soccer 2004,8.39
FIFA Soccer 2005,22.59
FIFA Soccer 96,12.47
FIFA Soccer 96 [Longbox],21.45
FIFA Soccer 97,10.67
FIFA World Cup 2002,15.29
FOX Sports Golf 99,5.27
FOX Sports NHL Championship 2000,4.84
FOX Sports Soccer 99,4.61
Fade to Black,11.23
Fade to Black [Longbox],36.99
Family Card Games Fun Pack,3.99
Family Feud,6.62
Family Game Pack,5.00
Fantastic Four,23.73
Fatal Fury: Wild Ambition,38.48
Fear Effect,31.48
Fear Effect 2: Retro Helix,36.13
Felony 11-79,19.90
Fifth Element,16.02
Fighter Maker,10.11
Fighting Force,11.86
Fighting Force 2,11.23
Fighting Force [Greatest Hits],16.76
Final Doom,45.23
Final Fantasy Anthology,17.40
Final Fantasy Anthology [Greatest Hits],15.02
Final Fantasy Chronicles,36.84
Final Fantasy Chronicles [Greatest Hits],18.01
Final Fantasy IX,19.44
Final Fantasy IX [Greatest Hits],10.44
Final Fantasy Origins,22.44
Final Fantasy Origins [Greatest Hits],21.41
Final Fantasy Tactics,35.81
Final Fantasy Tactics [Greatest Hits],15.96
Final Fantasy VII,19.64
Final Fantasy VII [Greatest Hits],19.34
Final Fantasy VIII,15.42
Final Fantasy VIII [Greatest Hits],8.73
Final Round,6.44
Fisherman's Bait,6.74
Fisherman's Bait 2: Big Ol Bass,13.13
Flintstones Bedrock Bowling,10.47
Floating Runner: Quest for the 7 Crystals,38.22
Ford Racing,1.82
Ford Truck Mania,5.04
Formula 1,4.02
Formula 1 2000,7.73
Formula 1 98,8.90
Formula 1 99,6.43
Formula 1 [Greatest Hits],7.65
Formula 1: Championship Edition,6.55
Forsaken,6.57
Fox Hunt,177.86
Frank Thomas Big Hurt Baseball,19.18
Freestyle Boardin 99,7.57
Freestyle Motocross: McGrath vs. Pastrana,3.25
Frogger,14.51
Frogger 2: Swampy's Revenge,5.59
Frogger 2: Swampy's Revenge [Greatest Hits],8.60
Frogger [Greatest Hits],3.32
Front Mission 3,40.33
Future Cop L.A.P.D.,52.84
G-Darius,75.95
G-Police,10.79
G-Police: Weapons of Justice,17.82
Galaga: Destination Earth,8.58
Galerians,39.64
Gallop Racer,11.39
Game of Life,6.50
GameShark,21.01
Gauntlet Legends,16.96
Gekido: Urban Fighters,32.72
Gekioh: Shooting King,47.39
Geom Cube,8.44
Geom Cube [Longbox],21.66
Gex,21.46
Gex 3: Deep Cover Gecko,19.80
Gex [Longbox],29.95
Gex: Enter the Gecko,33.24
Ghost in the Shell,90.99
Glover,17.75
Goal Storm,25.08
Goal Storm 97,33.66
Gold & Glory: The Road to El Dorado,16.85
Golden Nugget,5.21
Golden Tee Golf: Peter Jacobsen's,17.75
Goofy's Fun House,15.95
Gran Turismo,16.41
Gran Turismo 2,7.73
Gran Turismo 2 [Greatest Hits],3.15
Gran Turismo [Greatest Hits],5.34
Grand Slam,7.91
Grand Theft Auto,22.92
Grand Theft Auto 2,18.50
Grand Theft Auto 2 [Greatest Hits],8.14
Grand Theft Auto [Greatest Hits],7.95
Grand Theft Auto: Collectors Edition,30.22
Grand Theft Auto: London 1969,14.96
Grand Theft Auto: The Director's Cut,20.62
"Grand Tour Racing 98, Car and Driver Presents",6.94
Grandia,65.51
Granstream Saga,25.89
Grid Runner,7.65
Grinch,15.69
Grind Session,8.57
Grudge Warriors,4.98
Guardian's Crusade,40.40
Gubble,8.26
Guilty Gear,51.21
Gundam Battle Assault,32.79
Gundam Battle Assault 2,27.25
Gunfighter: The Legend of Jesse James,2.30
Gunship,4.40
Gunship [Longbox],18.01
HBO Boxing,4.19
Hardball 5,11.69
Hardball 99,8.98
Harry Potter and the Chamber of Secrets,12.29
Harry Potter and the Sorcerer's Stone,9.34
Harry Potter and the Sorcerer's Stone [Greatest Hits],11.53
Harvest Moon: Back to Nature,49.12
Heart of Darkness,34.28
Hellboy: Asylum Seeker,18.61
Hello Kitty: Cube Frenzy,9.31
Herc's Adventures,99.29
Hercules,26.40
Hexen,17.73
Hi-Octane: The Track Fights Back,12.53
Hi-Octane: The Track Fights Back [Longbox],20.28
High Heat Baseball 2000,5.97
High Heat: Major League Baseball 2002,9.52
Hive,30.29
Hogs of War,36.28
Hooters Road Trip,12.24
Hoshigami: Ruining Blue Earth,56.87
Hot Shots Golf,10.24
Hot Shots Golf 2,15.19
Hot Wheels: Extreme Racing,13.31
Hot Wheels: Turbo Racing,13.19
Hot Wheels: Turbo Racing [Greatest Hits],31.36
Hugo: The Evil Mirror,14.23
Hydro Thunder,21.54
IHRA Drag Racing,5.53
ISS Pro Evolution,99.76
ISS Soccer Pro 98,16.64
Impact Racing,11.09
In Cold Blood,37.81
In The Hunt,179.60
In The Hunt [Longbox],102.22
Incredible Crisis,41.29
Incredible Hulk: The Pantheon Saga,9.90
Independence Day,5.55
Inspector Gadget: Gadget's Crazy Maze,10.10
Intelligent Qube,55.16
Intellivision Classics,4.05
International Track & Field,12.41
International Track & Field 2000,12.30
International Track & Field [Longbox],18.39
Interplay Sports Baseball 2000,6.98
InuYasha: A Feudal Fairy Tale,14.42
Invasion From Beyond: B-Movie,12.35
Iron & Blood: Warriors of Ravenloft,13.24
Iron Man X-O Manowar in Heavy Metal,23.28
Iron Soldier 3,13.66
Irritating Stick,26.40
Italian Job,3.83
Jackie Chan Stuntmaster,70.84
Jade Cocoon: Story of Tamamayu,49.65
Jarrett & Labonte Stock Car Racing,3.82
Jeopardy!,2.25
Jeopardy!: 2nd Edition,3.33
Jeremy McGrath SuperCross 2000,3.95
Jeremy McGrath SuperCross 98,3.91
Jeremy McGrath SuperCross 98 [Greatest Hits],5.09
Jersey Devil,49.12
Jet Moto,11.71
Jet Moto 2,9.39
Jet Moto 2 [Greatest Hits],7.75
Jet Moto 3,9.10
Jet Moto [Greatest Hits],3.73
Jigsaw Madness,5.63
Jimmy Johnson's VR Football 98,8.58
Jimmy White's 2: Cueball,5.88
Johnny Bazookatone,16.33
Johnny Bazookatone [Longbox],24.39
Jojo's Bizarre Adventure,258.59
Judge Dredd,16.54
Juggernaut,61.63
Jumping Flash!,59.69
Jumping Flash! 2: Big Trouble in Little Muu,26.19
Jumpstart: Wildlife Safari,3.14
Jungle Book: Rhythm n' Groove,7.27
Jupiter Strike,15.70
K-1 Arena,9.48
K-1 Grand Prix,24.08
K-1 Revenge,13.42
KISS Pinball,4.97
Kagero: Deception II,29.51
Kartia: The Word of Fate,45.01
Kensei: Sacred Fist,39.00
Kickboxing,7.54
Kileak: The DNA Imperative,18.85
Killer Loop,6.48
Killing Zone,15.73
King of Fighters 95,32.78
King of Fighters 99,21.39
King's Field,51.63
King's Field II,45.77
King's Field [Longbox],64.09
Kingsley's Adventure,46.12
Klonoa: Door to Phantomile,324.79
Knockout Kings,6.83
Knockout Kings 2000,1.45
Knockout Kings 2001,7.34
Konami Arcade Classics,33.23
Koudelka,171.35
Krazy Ivan,17.14
Kurt Warner's Arena Football Unleashed,13.96
Land Before Time: Big Water Adventure,3.63
Land Before Time: Great Valley Racing Adventure,9.35
Land Before Time: Return to Great Valley,4.31
Largo Winch: Commando Sar,6.56
League of Pain: Professional Underground,8.32
Legacy of Kain: Soul Reaver,13.32
Legacy of Kain: Soul Reaver [Greatest Hits],19.89
Legend of Dragoon,39.24
Legend of Dragoon [Greatest Hits],31.48
Legend of Legaia,44.48
Legend of Mana,55.15
Lego Island 2: The Brickster's Revenge,20.87
Lego Racers,16.21
Lego Rock Raiders,16.65
Lemmings & Oh No! More Lemmings,14.04
Lemmings 3D,25.01
Lethal Enforcers I & II,46.03
Lilo & Stitch,18.91
The Lion King: Simba's Mighty Adventure,14.44
The Lion King: Simba's Mighty Adventure [Collectors Edition],19.57
Little Mermaid II,13.89
Loaded,31.95
Loaded [Greatest Hits],16.19
Loaded [Longbox],36.86
Lode Runner,25.08
Looney Toons Sheep Raider,23.65
Looney Tunes Racing,18.71
Lost World: Jurassic Park,9.41
Lost World: Jurassic Park [Greatest Hits],20.76
Lucky Luke,14.39
Lunar 2: Eternal Blue Complete,122.37
Lunar: Silver Star Story Complete,95.44
Lunar: Silver Star Story Complete [Fan Art Edition],69.46
M&M's Shell Shocked,9.43
MDK,19.45
MLB 2000,2.70
MLB 2001,6.10
MLB 2002,2.76
MLB 2003,2.14
MLB 2004,2.61
MLB 2005,9.64
MLB 98,7.77
MLB 99,6.98
MLB Pennant Race,6.82
MTV Music Generator,23.50
MTV Sports: Pure Ride,6.82
MTV Sports: Skateboarding featuring Andy MacDonal,5.00
MTV Sports: Snowboarding,8.66
MTV Sports: TJ Lavin's Ultimate BMX,6.65
MTV's Celebrity Deathmatch,8.81
Machine Head,11.24
Machine Hunter,11.70
Madden NFL 2000,3.16
Madden NFL 2001,2.43
Madden NFL 2002,2.82
Madden NFL 2003,4.16
Madden NFL 2004,10.25
Madden NFL 2005,7.80
Madden NFL 97,6.08
Madden NFL 98,7.03
Madden NFL 98 [Greatest Hits],12.79
Madden NFL 99,1.79
Magic Carpet,31.82
Magic Carpet [Longbox],36.15
Magic the Gathering: Battlemage,20.60
Marble Master,8.47
Martian Gothic: Unification,18.97
Marvel Super Heroes,43.71
Marvel Super Heroes vs. Street Fighter,131.14
Marvel vs. Capcom: Clash of the Super Heroes,85.14
Mary-Kate and Ashley: Crush Course,7.40
Mary-Kate and Ashley: Magical Mystery Mall,7.20
Mary-Kate and Ashley: Winners Circle,6.76
Mass Destruction,6.29
Master of Monsters: Disciples of Gaia,24.12
Mat Hoffman's Pro BMX,1.50
Mat Hoffman's Pro BMX [Greatest Hits],10.89
Maximum Force,17.50
MechWarrior 2,10.22
Medal of Honor,17.33
Medal of Honor [Greatest Hits],8.03
Medal of Honor: Underground,14.74
Medal of Honor: Underground [Greatest Hits],8.08
MediEvil,28.48
MediEvil II,54.52
Mega Man 8,30.33
Mega Man 8 [Greatest Hits],9.84
Mega Man Legends,59.31
Mega Man Legends 2,88.84
Mega Man Legends [Greatest Hits],34.34
Mega Man X4,27.98
Mega Man X4 [Greatest Hits],26.30
Mega Man X5,18.38
Mega Man X6,22.75
Men in Black: The Series: Crashdown,11.51
Metal Gear Solid,40.34
Metal Gear Solid [Greatest Hits],13.64
Metal Gear Solid: VR Missions,8.17
Metal Slug X,34.76
Michelin Rally Masters: Race of Champions,7.12
Micro Machines V3,11.35
Micro Maniacs Racing,11.36
Mike Tyson Boxing,12.97
Miracle Space Race,7.13
Misadventures of Tron Bonne,298.32
Miss Spiders Tea Party,5.63
Missile Command,5.76
Mission: Impossible,8.09
Mobil 1 Rally Championship,9.80
Mobile Armor,9.11
Mobile Light Force,25.52
Monaco Grand Prix,7.96
Monkey Hero,25.70
Monkey Magic,32.05
Monopoly,2.91
Monopoly [Greatest Hits],6.38
Monster Bass,5.99
Monster Rancher,50.00
Monster Rancher 2,36.79
Monster Rancher Hop-a-Bout,33.01
Monster Rancher: Battle Card: Episode II,20.49
"Monsters, Inc.: Scream Team",3.58
"Monsters, Inc.: Scream Team [Greatest Hits]",9.99
Monsterseed,37.59
Mort the Chicken,16.09
Mortal Kombat 3,620.51
Mortal Kombat 3 [Longbox],29.63
Mortal Kombat 4,18.77
Mortal Kombat 4 [Greatest Hits],25.16
Mortal Kombat Mythologies: Sub Zero,32.64
Mortal Kombat Trilogy,36.51
Mortal Kombat Trilogy [Greatest Hits],30.86
Mortal Kombat: Special Forces,43.70
Moto Racer,9.06
Moto Racer 2,3.71
Moto Racer World Tour,11.86
Motocross Mania,6.84
Motocross Mania 2,3.79
Motor Toon Grand Prix,30.02
Motorhead,14.38
"Mr. Domino, No One Can Stop",13.12
Mr. Driller,34.14
Ms. Pac-Man: Maze Madness,12.99
Mulan: Story Studio,2.99
Mummy,22.13
Muppet Monster Adventure,72.53
Muppet Race Mania,19.69
My Disney Kitchen,16.06
Myst,24.68
N-Gen Racing,16.11
N2O Nitrous Oxide,12.99
NASCAR 2000,6.54
NASCAR 2001,3.54
NASCAR 98,2.76
NASCAR 98 [Collectors Edition],6.82
NASCAR 98 [Greatest Hits],6.58
NASCAR 99,3.35
NASCAR 99 Legacy,8.85
NASCAR 99 [Greatest Hits],8.81
NASCAR Heat,4.90
NASCAR Racing,2.17
NASCAR Rumble,13.87
NASCAR Thunder 2002,5.48
NASCAR Thunder 2003,6.57
NASCAR Thunder 2004,6.46
NBA Basketball 2000,8.62
NBA Fastbreak 98,10.90
NBA Hangtime,65.36
NBA Hoopz,8.64
NBA In the Zone,5.47
NBA In the Zone 2,22.84
NBA In the Zone 2000,21.19
NBA In the Zone 98,5.41
NBA In the Zone 99,2.37
NBA Jam Extreme,12.63
NBA Jam T.E.,47.13
NBA Live 2000,4.75
NBA Live 2001,6.17
NBA Live 2002,7.55
NBA Live 2003,6.39
NBA Live 96,11.23
NBA Live 96 [Longbox],12.10
NBA Live 97,8.96
NBA Live 98,6.14
NBA Live 99,3.73
NBA ShootOut,8.39
NBA ShootOut 2000,8.05
NBA ShootOut 2002,4.68
NBA ShootOut 2003,2.59
NBA ShootOut 2004,5.76
NBA ShootOut 97,6.63
NBA ShootOut 98,7.20
NBA ShootOut [Longbox],9.86
NBA Shootout 2001,2.43
NBA Showtime: NBA on NBC,6.93
NCAA Basketball Final Four 97,5.01
NCAA Final Four 2000,5.50
NCAA Final Four 2001,3.62
NCAA Final Four 99,2.95
NCAA Football 2000,6.18
NCAA Football 2001,8.56
NCAA Football 98,12.74
NCAA Football 99,8.07
NCAA Football Gamebreaker,4.40
NCAA Gamebreaker 2000,2.55
NCAA Gamebreaker 2001,2.13
NCAA Gamebreaker 98,6.52
NCAA Gamebreaker 99,7.07
NCAA March Madness 2000,6.67
NCAA March Madness 2001,8.18
NCAA March Madness 98,4.59
NCAA March Madness 99,3.88
NFL Blitz,5.88
NFL Blitz 2000,12.27
NFL Blitz 2000 [Greatest Hits],362.67
NFL Blitz 2001,13.43
NFL Blitz [Greatest Hits],11.65
NFL Full Contact,10.24
NFL GameDay 2005,11.12
