Super Nintendo Game Title,Super Nintendo Game Price
BlackThorne,102.47
Blues Brothers,50.67
Bonkers,75.40
Boogerman: A Pick and Flick Adventure,176.05
Boxing: Legends of the Ring,10.55
Brain Lord,85.08
Brainies,55.19
Bram Stoker's Dracula,26.27
Brandish,149.21
Brawl Brothers,85.05
BreakThru!,21.26
Breath of Fire,104.56
Breath of Fire II,156.12
Brett Hull Hockey,15.08
Brett Hull Hockey '95,13.94
Bronkie the Bronchiasaurus,328.43
Brunswick World Tournament of Champions,13.70
Brutal: Paws of Fury,27.05
Bubsy II,34.47
Bubsy in: Claws Encounters of the Furred Kind,32.65
Bugs Bunny: Rabbit Rampage,27.15
Bulls vs Blazers and the NBA Playoffs,9.79
Bust-a-Move,48.95
C2: Judgment Clay,47.80
Cacoma Knight in Bizyland,86.73
Cal Ripken Jr. Baseball,12.55
California Games II,27.68
Cannondale Cup,44.32
Captain America and the Avengers,61.73
Captain Commando,302.02
Captain Novolin,117.26
Carrier Aces,47.13
Casper,463.65
Castlevania: Dracula X,604.55
Champions World Class Soccer,20.15
Championship Pool,12.65
Championship Soccer '94,31.61
Chavez Boxing,47.41
Chavez II,73.73
Chessmaster,20.86
Chester Cheetah: Too Cool to Fool,44.94
Chester Cheetah: Wild Wild Quest,60.39
Choplifter III: Rescue & Survive,48.04
Chrono Trigger,454.71
Chuck Rock,43.07
Civilization,50.88
Clay Fighter,40.33
Clay Fighter: Tournament Edition,53.60
Claymates,60.66
Cliffhanger,25.84
Clue,19.23
College Football USA '97: The Road to New Orleans,17.65
College Slam,14.96
Combatribes,112.06
Congo's Caper,75.62
Contra III: The Alien Wars,175.50
Contra III: The Alien Wars [Not For Resale],0.00
Cool Spot,53.69
Cool World,70.55
Cutthroat Island,38.03
Cyber Spin,42.66
Cybernator,86.12
D-Force,32.81
Daffy Duck: The Marvin Missions,39.73
Darius Twin,64.03
David Crane's Amazing Tennis,16.57
Death and Return of Superman,131.84
Demolition Man,36.69
Demon's Crest,312.23
Dennis the Menace,34.56
Desert Strike: Return to the Gulf,33.52
Dig & Spike Volleyball,19.67
Dino City,66.21
Dirt Trax FX,69.24
Donkey Kong Country,62.92
Donkey Kong Country 2: Diddy's Kong Quest,62.78
Donkey Kong Country 2: Diddy's Kong Quest [Player's Choice],69.05
Donkey Kong Country 3: Dixie Kong's Double Trouble!,76.49
Donkey Kong Country 3: Dixie Kong's Double Trouble! [Not For Resale],0.00
Donkey Kong Country 3: Dixie Kong's Double Trouble! [Player's Choice],98.97
Donkey Kong Country Competition,"3,677.28"
Donkey Kong Country [Not For Resale],0.00
Donkey Kong Country [Player's Choice],51.03
Doom,92.78
Doom Troopers: The Mutant Chronicles,173.43
Doomsday Warrior,32.86
Double Dragon V: The Shadow Falls,68.61
Dragon View: Drakkhen 2,214.29
Dragon's Lair,34.90
Dragon: The Bruce Lee Story,37.36
Drakkhen,35.95
Dream TV,36.49
Dungeon Master,68.38
E.V.O.: Search for Eden,"1,212.07"
ESPN Baseball Tonight,19.01
ESPN National Hockey Night,19.06
ESPN Speedworld,20.54
ESPN Sunday Night NFL,14.63
Earth Defense Force,64.95
EarthBound,"1,207.90"
Earthworm Jim,109.66
Earthworm Jim 2,110.27
Eek! the Cat,63.21
Elite Soccer,35.32
Emmitt Smith Football,19.29
Equinox,73.30
Exertainment Mountain Bike Rally,75.15
Exertainment Mountain Bike Rally/Speed Racer,"2,431.00"
Extra Innings,15.31
F-Zero,37.80
F-Zero [Player's Choice],39.08
F1 Pole Position,23.72
F1 ROC,30.76
F1 ROC 2: Race of Champions,29.49
FIFA International Soccer,19.75
FIFA Soccer '96,16.62
FIFA Soccer '97,32.05
Faceball 2000,26.77
Family Dog,32.68
Family Feud,13.54
Fatal Fury,37.55
Fatal Fury 2,36.44
Fatal Fury Special,77.30
Fighter's History,44.78
Final Fantasy II,141.06
Final Fantasy III,186.07
Final Fantasy: Mystic Quest,60.28
Final Fight,66.33
Final Fight 2,186.19
Final Fight 3,347.43
Final Fight Guy,"1,185.51"
Fire Striker,242.92
Firepower 2000,49.28
First Samurai,61.82
Flashback: The Quest for Identity,45.19
Flintstones,83.41
Flintstones: The Treasure of Sierra Madrock,130.13
Football Fury,34.56
Foreman For Real Boxing,13.04
Frank Thomas Big Hurt Baseball,13.84
Frantic Flea,20.81
Frogger,27.12
Full Throttle: All-American Racing,15.76
Fun 'n Games,731.68
GP-1,30.34
GP-1 Part II,26.59
Game Genie,50.68
Gemfire,66.27
Genghis Khan 2: Clan of the Gray Wolf,32.00
George Foreman's KO Boxing,13.39
Ghoul Patrol,296.45
Goal!,22.75
Gods,37.18
Goof Troop,54.13
Gradius III,74.81
Great Circus Mystery starring Mickey & Minnie,47.82
Great Waldo Search,32.81
GunForce,48.03
Hagane: The Final Conflict,"1,705.88"
Hammerlock Wrestling,84.54
Hardball III,15.54
Harley's Humongous Adventure,37.26
Harvest Moon,723.29
Head-On Soccer,60.06
Hit The Ice,47.97
Hole in One Golf,15.79
Home Alone,27.79
Home Alone 2: Lost in New York,25.92
Home Improvement,108.23
Hook,75.73
Hunt for Red October,23.46
Hurricanes,447.48
Hyper V-Ball,36.81
HyperZone,27.02
Ignition Factor,65.87
Illusion Of Gaia,86.25
Imperium,148.56
Incantation,751.79
Incredible Crash Dummies,38.12
Incredible Hulk,50.67
Indiana Jones' Greatest Adventures,71.41
Inindo: Way of the Ninja,77.91
Inspector Gadget,83.86
International Superstar Soccer,350.73
International Superstar Soccer Deluxe,280.65
International Tennis Tour,16.70
Irem Skins Game,17.18
Izzy's Quest for the Olympic Rings,22.68
J.R.R. Tolkien's The Lord of the Rings,50.50
Jack Nicklaus Golf,12.36
James Bond Jr.,27.50
Jammit,20.31
Jeopardy!,13.74
Jeopardy! Deluxe Edition,13.58
Jeopardy! Sports Edition,14.05
Jetsons: Invasion of Planet Pirates,186.73
Jim Power: The Lost Dimension in 3D,43.19
Jimmy Connors Pro Tennis Tour,17.58
Jimmy Houston's Bass Tournament USA,53.74
Joe & Mac,59.24
Joe & Mac 2: Lost in the Tropics,163.15
John Madden Football,20.61
John Madden Football '93,9.45
Judge Dredd,44.15
Jungle Book,23.35
Jungle Strike: The Sequel to Desert Strike,33.65
Jurassic Park,32.15
Jurassic Park 2: The Chaos Continues,48.33
Justice League Task Force,52.98
Ka-blooey,21.69
Kawasaki Caribbean Challenge,24.46
Kawasaki Superbike Challenge,44.69
Ken Griffey Jr. Presents MLB,32.18
Ken Griffey Jr.'s Winning Run,28.25
Ken Griffey Jr.'s Winning Run [Not For Resale],0.00
Kendo Rage,127.54
Kid Klown in Crazy Chase,39.44
Killer Instinct,42.25
Killer Instinct [Not For Resale],0.00
King Arthur & the Knights of Justice,93.22
King Arthur's World,38.52
King of Dragons,185.01
King of the Monsters,38.42
King of the Monsters 2,35.30
Kirby Super Star: 8 Games in One!,79.58
Kirby's Avalanche,41.22
Kirby's Dream Course,76.54
Kirby's Dream Land 3,355.02
Knights of the Round,300.59
Kyle Petty's No Fear Racing,28.17
Lagoon,40.36
Lamborghini American Challenge,80.05
Last Action Hero,34.09
Lawnmower Man,30.54
Legend,173.31
Legend of Zelda: A Link To the Past,114.03
Legend of Zelda: A Link to the Past [Player's Choice],79.77
Legend of the Mystical Ninja,156.98
Lemmings,37.72
Lemmings 2: The Tribes,60.33
Lester the Unlikely,23.39
Lethal Enforcers,92.32
Lethal Enforcers [Big Box],123.50
Lethal Weapon,35.81
Liberty or Death,79.18
Lion King,36.56
Lock On,33.54
Looney Tunes B-Ball,85.15
Lost Vikings,82.34
Lost Vikings II: Norse by Norsewest,96.15
Lufia & The Fortress of Doom,156.20
Lufia 2: Rise of the Sinistrals,165.35
MACS,0.00
MACS: Moving Target Simulator,0.00
MLBPA Baseball,16.12
MVP Football,17.32
Madden NFL '94,13.04
Madden NFL '95,10.88
Madden NFL '96,10.73
Madden NFL '97,10.84
Madden NFL '98,17.54
Magic Boy,52.89
Magic Johnson's Super Slam Dunk,25.98
Magic Sword,111.91
Magical Quest starring Mickey Mouse,57.45
Mario Is Missing!,56.76
Mario Paint,94.11
Mario Paint [Game Only],0.00
Mario Paint [Player's Choice],72.03
Mario's Early Years!: Fun with Letters,64.24
Mario's Early Years!: Fun with Numbers,70.59
Mario's Early Years!: Pre-School Fun,59.73
Mario's Time Machine,40.65
Mark Davis' The Fishing Master,22.20
Marvel Super Heroes: War of the Gems,157.25
Mary Shelley's Frankenstein,34.68
The Mask,136.16
Math Blaster: Episode 1,44.58
Maui Mallard: Cold Shadow,60.58
Mecarobot Golf,20.51
MechWarrior,33.77
MechWarrior 3050,42.72
Mega Man 7,541.12
Mega Man Soccer,222.04
Mega Man X,133.27
Mega Man X2,307.66
Mega Man X3,699.05
Metal Combat: Falcon's Revenge,28.45
Metal Marines,122.44
Metal Morph,92.11
Metal Warriors,791.20
Michael Andretti's Indy Car Challenge,24.20
Michael Jordan: Chaos in the Windy City,57.95
Mickey Mania: Timeless Adventures of Mickey Mouse,42.08
Mickey's Ultimate Challenge,45.68
Micro Machines,77.11
Might & Magic III: Isles of Terra,74.71
Mighty Morphin' Power Rangers,30.41
Mighty Morphin' Power Rangers: Fighting Edition,107.41
Mighty Morphin' Power Rangers: The Movie,116.97
Miracle Piano Teaching System,172.27
Mohawk & Headphone Jack,75.06
Monopoly,15.92
Mortal Kombat,48.84
Mortal Kombat 3,48.69
Mortal Kombat II,47.09
Mortal Kombat II [Not For Resale],0.00
Mr. Do!,98.48
Mr. Nutz,184.91
Ms. Pac-Man,22.74
Musya: The Classic Japanese Tale of Horror,200.13
NBA All-Star Challenge,18.05
NBA Hang Time,32.32
NBA Jam,27.30
NBA Jam Tournament Edition,53.17
NBA Live '95,13.43
NBA Live '96,15.18
NBA Live '97,12.00
NBA Live '98,24.26
NBA Showdown,13.39
NBA: Give 'n Go,48.64
NCAA Basketball,12.04
NCAA Basketball [Not For Resale],0.00
NCAA Final Four Basketball,15.49
NCAA Football,17.12
NFL Football,15.16
NFL Quarterback Club,11.64
NFL Quarterback Club '96,12.15
NHL '94,47.75
NHL '95,17.87
NHL '96,29.12
NHL '97,19.06
NHL '98,46.24
NHL Stanley Cup Hockey,16.62
NHLPA Hockey '93,12.84
Natsume Championship Wrestling,39.66
Newman Haas IndyCar featuring Nigel Mansell,19.62
Nickelodeon Guts,31.30
Nigel Mansell's World Championship Racing,18.82
Ninja Gaiden Trilogy,318.61
Ninja Warriors,509.07
No Escape,55.52
Nobunaga's Ambition,45.68
Nobunaga's Ambition: Lord of Darkness,73.08
Nolan Ryan's Baseball,19.05
Nosferatu,231.51
Obitus,43.92
Ogre Battle: March of the Black Queen,264.64
Olympic Summer Games,19.08
On the Ball,36.70
Operation Europe: Path to Victory 1939-45,30.58
Operation Thunderbolt,159.72
Operation: Logic Bomb,73.40
Oscar,421.09
Out of This World,35.68
Out to Lunch,54.12
Outlander,37.88
P.T.O. II: Pacific Theater of Operations,44.14
P.T.O: Pacific Theater of Operations,38.18
PGA European Tour Golf,23.46
PGA Tour '96,37.22
PGA Tour Golf,13.56
Pac-Attack,26.88
Pac-Man 2: The New Adventures,16.18
Pac-in-Time,59.14
Packy & Marlon,100.23
Pagemaster,24.94
Paladin's Quest,82.15
Paperboy 2,26.39
The Peace Keepers,145.39
Phalanx,101.92
Phantom 2040,54.18
Pieces,91.81
Pilotwings,27.88
Pinball Dreams,19.71
Pinball Fantasies,21.84
Pink Goes to Hollywood,25.93
Pinocchio,49.79
Pirates of Dark Water,138.64
Pit-Fighter,19.68
Pitfall: The Mayan Adventure,23.65
Plok!,73.48
Pocky & Rocky,358.79
Pocky & Rocky 2,"1,206.94"
Populous,24.24
Porky Pig's Haunted Holiday,29.14
Power Instinct,65.45
Power Moves,29.73
Power Piggs of the Dark Age,72.32
Power Plug [Tyco],21.50
Power Rangers Zeo: Battle Racers,37.84
Prehistorik Man,79.69
Primal Rage,30.33
Prince of Persia,51.67
Prince of Persia 2,61.78
Pro Quarterback,18.98
Pro Sport Hockey,16.24
Pushover,33.97
Q*bert 3,69.23
R-Type III,336.67
RPM: Radical Psycho Machine Racing,33.23
Race Drivin',20.93
Radical Rex,44.80
Raiden Trad,72.41
Rampart,54.69
Ranma 1/2: Hard Battle,43.94
RapJam Volume One,27.13
Realm,84.16
Redline F-1 Racer,44.92
Relief Pitcher,52.24
Ren & Stimpy Show: Buckeroo$!,469.70
Ren & Stimpy Show: Fire Dogs,112.01
Ren & Stimpy Show: Time Warp,68.32
Ren & Stimpy Show: Veediots!,36.00
Revolution X featuring Aerosmith,18.91
Rex Ronan: Experimental Surgeon,116.40
Riddick Bowe Boxing,30.21
Rise of the Phoenix,46.92
Rise of the Robots,21.66
Rival Turf,43.60
Road Riot 4WD,22.03
Road Runner's Death Valley Rally,20.66
RoboCop 3,70.58
RoboCop vs. Terminator,67.40
RoboTrek,150.09
Rock 'n Roll Racing,87.04
Rocketeer,37.81
Rocko's Modern Life,65.72
Rocky Rodent,86.74
Roger Clemens' MVP Baseball,14.56
Romance of the Three Kingdoms II,53.22
Romance of the Three Kingdoms III: Dragon of Destiny,48.45
Romance of the Three Kingdoms IV: Wall of Fire,46.56
Run Saber,177.91
S.O.S. Sink or Swim,149.33
SOS,190.31
SWAT Kats: The Radical Squadron,260.96
Samurai Shodown,54.25
Saturday Night Slam Masters,75.20
Scooby-Doo Mystery,30.78
SeaQuest DSV,57.44
Secret of Evermore,101.85
Secret of Mana,165.71
Shadowrun,179.32
Shanghai II: Dragon's Eye,15.02
Shaq-Fu,26.12
Shien's Revenge,150.88
Side Pocket,39.87
SimAnt,75.45
SimCity,29.77
SimCity 2000,49.40
SimCity [Player's Choice],41.58
SimEarth: The Living Planet,27.97
The Simpsons: Bart's Nightmare,81.09
The Simpsons: Itchy & Scratchy Game,128.76
The Simpsons: Krusty's Super Fun House,47.73
The Simpsons: Virtual Bart,78.13
Skuljagger: Revenge of the Westicans,29.74
Skyblazer,166.37
Smartball,30.74
Snow White: Happily Ever After,73.85
Soccer Shootout,66.40
Soldiers of Fortune,69.59
Sonic Blast Man,116.24
Sonic Blast Man 2,373.91
Soul Blazer,275.06
Space Ace,42.08
Space Football,19.13
Space Invaders,44.40
Space Megaforce,348.48
Spanky's Quest,74.69
Sparkster,372.23
Spawn,46.89
Spectre,31.15
Speed Racer: My Most Dangerous Adv.,63.41
Speedy Gonzales: Los Gatos Bandidos,26.33
Spider-Man,58.27
Spider-Man & Venom: Maximum Carnage [Grey],109.95
Spider-Man & Venom: Maximum Carnage [QVC],566.98
Spider-Man & Venom: Maximum Carnage [Red],120.98
Spider-Man & Venom: Separation Anxiety,126.74
Spider-Man & X-Men: Arcade's Revenge,56.62
Spindizzy Worlds,28.09
Sporting News Baseball,27.18
Sports Illustrated Championship Football/Baseball,10.88
Star Fox,59.10
Star Fox Super Weekend Competition,"2,099.99"
Star Fox [Not For Resale],0.00
Star Trek Deep Space Nine: Crossroads of Time,49.22
Star Trek: Starfleet Academy,43.06
Star Trek: The Next Generation: Future's Past,28.63
Stargate,57.53
Steel Talons,53.08
Sterling Sharpe's End 2 End,19.25
Stone Protectors,247.26
Street Combat,30.16
Street Fighter Alpha 2,155.36
Street Fighter II,34.99
Street Fighter II Turbo,72.07
Street Fighter II Turbo [Not For Resale],0.00
Street Fighter II [30th Anniversary],98.23
Street Fighter II [Not For Resale],0.00
Street Hockey '95,24.98
Street Racer,50.76
Strike Gunner S.T.G,117.73
Stunt Race FX,26.14
Stunt Race FX [Not For Resale],0.00
Sunset Riders,302.06
Super Advantage Controller,0.00
Super Adventure Island,90.72
Super Adventure Island 2,217.06
Super Alfred Chicken,35.50
Super Aquatic Games,27.35
Super Baseball 2020,39.82
Super Baseball Simulator 1.000,25.14
Super Bases Loaded,17.55
Super Bases Loaded 2,19.01
Super Bases Loaded 3: License to Steal,33.05
Super Batter Up,24.70
Super Battleship,33.34
Super Battletank 2,27.52
Super Battletank: War in the Gulf,16.13
Super Black Bass,26.52
Super Bomberman,182.00
Super Bomberman 2,94.91
Super Bomberman Party Pack,235.70
Super Bonk,167.85
Super Bowling,41.19
Super Buster Brothers,61.00
Super Caesar's Palace,8.32
Super Castlevania IV,133.63
Super Chase H.Q.,70.07
Super Conflict,31.11
Super Copa,"1,495.75"
Super Copa [Playtronics],269.00
Super Double Dragon,127.36
Super Game Boy,44.33
Super Ghouls 'n Ghosts,96.13
Super Goal! 2,52.75
Super Godzilla,44.59
Super High Impact,15.41
Super James Pond,34.38
Super Mario All-Stars,67.64
Super Mario All-Stars / Super Mario World,0.00
Super Mario All-Stars [Player's Choice],54.75
Super Mario Kart,84.67
Super Mario Kart [Player's Choice],62.08
Super Mario RPG: Legend of the Seven Stars,206.66
Super Mario World,419.26
Super Mario World 2: Yoshi's Island,82.74
Super Mario World 2: Yoshi's Island [Not For Resale],0.00
Super Mario World [Player's Choice],213.05
Super Metroid,141.92
Super Metroid [Not For Resale],0.00
Super Metroid [Player's Choice],120.58
Super NES [Control Deck],117.74
Super NES [Control Deck] [Kirby Superstars],190.56
Super NES [Control Deck] [Legend of Zelda],327.45
Super NES [Control Deck] [Tetris Attack],0.00
Super NES [Control Deck] [Yoshi's Island],105.00
Super NES [Control Set],131.30
Super NES [Control Set] [Home Run Bundle],0.00
Super NES [Control Set] [Killer Instinct Bundle],134.44
Super NES [Control Set] [Super Game Boy] [Walmart Exclusive],0.00
Super NES [Control Set] [Super Metroid Bundle],0.00
Super NES [Control Set] [Zelda Bundle],241.46
Super NES [Donkey Kong Set],256.85
Super NES [Killer Instinct Set],311.53
Super NES [Mario Set],208.46
Super NES [Super Game Boy Set],0.00
Super NES [Super Set],163.00
Super NES [Super Set] [Mario Paint],133.22
Super NES [Super Set] [Super Mario All-Stars],147.90
Super NES [Super Set] [Super Mario Kart Bundle],75.00
Super Ninja Boy,74.71
Super Nintendo Entertainment System: Classic Edition,75.98
Super Nintendo Super NES Controller,36.08
Super Noah's Ark 3-D,177.06
Super Nova,84.40
Super Off-Road,38.95
Super Off-Road [Not For Resale],0.00
Super Off-Road: The Baja,22.12
Super Pinball: Behind the Mask,16.67
Super Play Action Football,14.33
Super Punch-Out!!,102.10
Super Putty,27.21
Super R-Type,61.49
Super RBI Baseball,24.80
Super Scope 6,114.34
Super Scope 6 [Game Only],0.00
Super Slap Shot,15.85
Super Smash T.V.,109.31
Super Soccer,31.87
Super Soccer Champ,39.92
Super Solitaire,17.15
Super Star Wars,37.72
Super Star Wars [Player's Choice],36.86
Super Star Wars: Return of the Jedi,39.46
Super Star Wars: The Empire Strikes Back,46.21
Super Street Fighter II,67.97
Super Strike Eagle,21.83
Super Tennis,20.74
Super Troll Islands,34.78
Super Turrican,141.30
Super Turrican 2,432.60
Super Valis IV,101.43
Super Widget,63.69
Suzuka 8 Hours,21.10
Syndicate,240.16
T2: Terminator 2 Judgment Day,50.09
T2: The Arcade Game,41.01
TKO Super Championship Boxing,55.89
TNN Bass Tournament of Champions,21.20
Taz-Mania,21.83
Tecmo Secret of the Stars,111.75
Tecmo Super Baseball,13.51
Tecmo Super Bowl,35.38
Tecmo Super Bowl II: Special Edition,137.26
Tecmo Super Bowl III: Final Edition,56.61
Tecmo Super NBA Basketball,20.14
Teenage Mutant Ninja Turtles IV: Turtles in Time,246.77
Teenage Mutant Ninja Turtles IV: Turtles in Time [Not For Resale],0.00
Teenage Mutant Ninja Turtles: Tournament Fighters,108.57
Terminator,69.03
Test Drive II: The Duel,35.56
Tetris 2,26.73
Tetris 2 [Player's Choice],33.90
Tetris Attack,36.19
Tetris Attack [Not For Resale],0.00
Tetris/Dr. Mario,52.24
Tetris/Dr. Mario [Player's Choice],41.49
Thomas the Tank Engine & Friends,37.78
Thunder Spirits,72.34
The Tick,55.93
Time Cop,123.77
Time Trax,49.96
Timeslip,51.64
Timon and Pumbaa's Jungle Games,24.30
Tin Star,32.91
Tiny Toon Adventures: Buster Busts Loose!,25.54
Tiny Toon Adventures: Wacky Sports Challenge,68.77
Tom & Jerry,26.26
Tommy Moe's Winter Extreme,29.63
Tony Meola's Sidekicks Soccer,18.65
Top Gear,44.11
Top Gear 2,53.01
Top Gear 3000,84.96
Total Carnage,48.52
Toy Story,36.34
Toys,19.74
Troddlers,48.83
Troy Aikman NFL Football,13.24
True Golf Classics: Pebble Beach,10.37
True Golf Classics: Waialae Country Club,14.93
True Lies,101.22
Tuff E Nuff,26.76
Turn & Burn: No Fly Zone,28.89
Twisted Tales of Spike McFang,263.47
UN Squadron,84.06
Ultima VI: The False Prophet,31.45
Ultima VII: The Black Gate,119.24
Ultima: Runes of Virtue II,54.96
Ultimate Fighter,38.43
Ultimate Mortal Kombat 3,138.49
Ultraman,34.77
Uncharted Waters,80.24
Uncharted Waters: New Horizons,91.91
Uniracers,51.82
Untouchables,34.28
Urban Strike: The Sequel to Jungle Strike,22.37
Utopia: The Creation of a Nation,27.38
Vegas Stakes,22.15
Vortex,34.36
WCW Super Brawl Wrestling,60.56
WWF Raw,29.95
WWF Royal Rumble,53.31
WWF Super Wrestlemania,21.72
WWF Wrestlemania: The Arcade Game,36.43
War 2410,167.27
War 3010: The Revolution,43.72
Wario's Woods,41.99
Warlock,32.09
WarpSpeed,34.64
Wayne Gretzky and the NHLPA All-Stars,12.04
Wayne's World,31.87
We're Back!: A Dinosaur's Story,29.56
WeaponLord,52.58
Wheel of Fortune,10.88
Wheel of Fortune: Deluxe Edition,15.61
Where in Time Is Carmen Sandiego?,36.83
Where in the World Is Carmen Sandiego?,76.62
Whizz,47.77
Wicked 18 Golf,35.32
Wild Guns,695.76
WildCATS: Covert Action Teams,99.32
WildSnake,20.98
Williams Arcade's Greatest Hits,17.91
Wing Commander,33.29
Wing Commander II: The Secret Missions,43.46
Wings 2: Aces High,26.60
Winter Olympics: Lillehammer '94,13.61
The Wizard of Oz,49.16
Wizardry V: Heart of the Maelstrom,31.83
Wolfchild,43.23
Wolfenstein 3D,87.95
Wolverine: Adamantium Rage,87.25
Wordtris,16.68
World Cup USA '94,26.62
World Heroes,36.61
World Heroes 2,63.52
World League Soccer,13.51
World Soccer '94: Road to Glory,100.06
X Band: Video Game Modem,83.88
X-Kaliber 2097,46.07
X-Men: Mutant Apocalypse,67.47
X-Zone,23.68
Xardion,52.56
Yoshi's Cookie,41.68
Yoshi's Safari,48.69
Young Merlin,39.61
Ys III: Wanderers From Ys,66.83
Zero the Kamikaze Squirrel,870.53
Zombies  Ate My Neighbors [Box Variant],955.78
Zombies Ate My Neighbors,138.06
Zool: Ninja of the Nth Dimension,29.51
Zoop,20.32
